Messstelle:                ;Muhr
HZB-Nummer:                ;203745
HD-Nummer:                 ;
DBMS-Nummer:               ;5001069
Gewässer:                  ;Mur
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Salzburg AG für Energie, Verkehr und Telekommunikation
orogr.Einzugsgebiet [km²]: ;75,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;01137,50
   01.01.1992              ;01119,67
   10.04.2008              ;01119,83
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.11.1950              ;460735,00 - 218670,00
   01.01.1992              ;461780,00 - 218210,00
   10.04.2010              ;461742,00 - 218224,70
Exportzeitreihe:           ;(5001069,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[22.01.1961 12:00,01.01.2022 00:00]
Werte:
15.05.1991 08:15:00; 0,896
30.06.1991 23:59:55;  2,15
12.07.1991 09:30:00;  1,49
21.08.1991 02:00:00; 0,663
09.09.1991 15:30:00; 0,561
09.10.1991 00:15:00; 0,506
27.11.1991 14:15:00; 0,457
05.12.1991 07:15:00; 0,412
06.01.1992 13:00:00; 0,730
21.02.1992 06:45:00; 0,876
30.03.1992 00:00:00; 0,800
01.04.1992 00:00:00; 0,800
07.05.1992 11:00:00;  1,36
09.06.1992 20:15:00;  1,48
29.07.1992 19:45:00;  1,61
29.08.1992 14:00:00;  1,14
28.09.1992 17:00:00; 0,876
01.10.1992 09:15:00; 0,876
16.11.1992 13:30:00; 0,800
31.12.1992 18:15:00; 0,730
10.01.1993 10:00:00; 0,569
15.02.1993 08:15:00; 0,569
03.03.1993 12:45:00; 0,513
01.04.1993 10:30:00; 0,630
07.05.1993 19:15:00; 0,630
18.06.1993 12:30:00; 0,767
13.07.1993 13:30:00;  1,25
14.08.1993 09:00:00;  1,11
27.09.1993 07:00:00; 0,550
19.10.1993 09:30:00; 0,800
30.11.1993 10:45:00; 0,605
01.12.1993 00:00:00; 0,730
18.01.1994 00:10:00; 0,569
13.02.1994 07:30:00; 0,513
07.03.1994 07:45:00; 0,730
14.04.1994 08:15:00; 0,605
13.05.1994 09:00:00; 0,696
17.06.1994 18:00:00; 0,767
06.07.1994 04:30:00;  1,05
01.08.1994 00:00:00;  1,14
04.09.1994 15:15:00; 0,876
22.10.1994 16:00:00; 0,800
25.11.1994 07:45:00; 0,500
02.12.1994 03:15:00; 0,665
27.01.1995 06:00:00; 0,550
01.02.1995 03:45:00; 0,665
01.03.1995 07:00:00; 0,550
15.04.1995 04:30:00; 0,800
19.05.1995 08:15:00;  1,14
19.06.1995 18:45:00;  1,96
28.07.1995 05:15:00; 0,767
06.08.1995 05:15:00;  1,01
03.09.1995 23:45:00; 0,844
23.10.1995 07:45:00; 0,696
04.11.1995 06:30:00; 0,413
05.12.1995 08:15:00; 0,370
07.01.1996 00:30:00; 0,513
22.02.1996 02:45:00; 0,461
02.03.1996 11:30:00; 0,461
05.04.1996 01:15:00; 0,513
24.05.1996 13:45:00;  1,44
16.06.1996 17:30:00; 0,926
27.07.1996 18:00:00; 0,800
12.08.1996 08:45:00; 0,800
17.09.1996 07:45:00; 0,958
04.10.1996 05:00:00;  1,48
12.11.1996 04:00:00; 0,800
13.12.1996 07:00:00; 0,730
31.01.1997 05:36:35; 0,587
15.02.1997 12:55:15; 0,534
02.03.1997 00:39:50; 0,472
02.04.1997 11:35:20; 0,496
31.05.1997 23:57:15; 0,836
02.06.1997 01:22:10; 0,729
03.07.1997 23:59:50;  1,81
24.08.1997 01:36:15; 0,439
20.09.1997 04:21:30; 0,730
27.10.1997 09:40:30; 0,408
27.11.1997 08:15:50; 0,360
16.12.1997 13:16:55; 0,487
24.01.1998 14:00:00; 0,432
24.02.1998 19:45:00; 0,477
15.03.1998 21:45:00; 0,400
23.04.1998 14:30:00; 0,600
20.05.1998 06:00:00; 0,590
18.06.1998 07:00:00; 0,769
26.07.1998 03:45:00;  1,18
31.08.1998 07:30:00;  1,05
01.09.1998 23:15:00; 0,958
04.10.1998 07:15:00; 0,950
21.11.1998 12:00:00; 0,581
29.12.1998 00:00:00; 0,387
01.01.1999 00:00:00; 0,447
06.02.1999 19:45:00; 0,513
15.03.1999 05:30:00; 0,461
09.04.1999 00:00:00; 0,630
05.05.1999 10:30:00;  1,72
06.06.1999 07:15:00;  1,25
21.07.1999 06:30:00;  1,10
07.08.1999 12:00:00; 0,958
29.09.1999 06:15:00; 0,974
26.10.1999 00:15:00; 0,664
10.11.1999 21:15:00; 0,544
21.12.1999 07:45:00; 0,443
04.01.2000 12:00:00; 0,543
20.02.2000 22:00:00; 0,657
05.03.2000 05:00:00; 0,718
18.04.2000 03:00:00; 0,730
24.05.2000 22:15:00;  1,23
29.06.2000 16:30:00;  1,35
07.07.2000 05:00:00;  1,14
29.08.2000 02:30:00; 0,974
23.09.2000 14:39:05; 0,806
01.10.2000 00:00:00;  1,07
13.11.2000 10:30:00; 0,887
16.12.2000 15:45:00; 0,742
23.01.2001 19:00:00; 0,605
02.02.2001 14:30:00; 0,605
05.03.2001 07:30:00; 0,500
21.04.2001 13:45:00; 0,443
01.05.2001 03:00:00;  1,28
19.06.2001 21:45:00;  2,19
31.07.2001 23:59:55;  1,52
30.08.2001 09:00:00; 0,876
17.09.2001 07:30:00; 0,800
30.10.2001 14:45:00; 0,513
10.11.2001 20:15:00; 0,461
30.12.2001 08:15:00; 0,461
14.01.2002 06:15:00; 0,370
26.02.2002 08:00:00; 0,461
09.03.2002 09:30:00; 0,413
08.04.2002 13:45:00; 0,732
08.05.2002 10:30:00;  1,40
27.06.2002 19:00:00; 0,876
06.07.2002 16:15:00; 0,958
04.08.2002 15:15:00;  1,05
22.09.2002 12:00:00; 0,958
24.10.2002 10:00:00; 0,800
15.11.2002 18:45:00; 0,605
20.12.2002 11:45:00; 0,732
25.01.2003 14:00:00; 0,491
02.02.2003 04:15:00; 0,491
14.03.2003 21:00:00; 0,491
14.04.2003 12:30:00; 0,443
17.05.2003 23:15:00;  1,12
29.06.2003 17:45:00;  1,22
01.07.2003 20:15:00;  1,02
26.08.2003 06:45:00; 0,784
27.09.2003 08:00:00; 0,800
29.10.2003 16:45:00; 0,665
17.11.2003 11:15:00; 0,800
22.12.2003 22:15:00; 0,605
01.01.2004 11:15:00; 0,605
04.02.2004 06:30:00; 0,665
10.03.2004 14:45:00; 0,665
15.04.2004 12:00:00; 0,730
11.05.2004 13:30:00;  1,48
05.06.2004 17:15:00;  2,08
31.07.2004 01:15:00;  1,36
26.08.2004 08:30:00; 0,958
30.09.2004 10:45:00; 0,732
27.10.2004 15:45:00; 0,732
27.11.2004 09:15:00;  1,02
18.12.2004 04:15:00; 0,718
19.01.2005 20:15:00; 0,601
27.02.2005 13:45:00; 0,443
05.03.2005 17:15:00; 0,601
11.04.2005 03:15:00; 0,887
11.05.2005 19:30:00; 0,806
10.06.2005 16:15:00;  1,02
30.07.2005 00:30:00;  1,36
03.08.2005 04:00:00;  1,05
17.09.2005 13:30:00; 0,958
28.10.2005 21:15:00;  1,12
26.11.2005 13:45:00; 0,784
23.12.2005 10:30:00; 0,550
02.01.2006 09:30:00; 0,665
02.02.2006 06:15:00; 0,665
12.03.2006 23:30:00; 0,605
09.04.2006 12:45:00; 0,800
09.05.2006 06:30:00;  1,61
10.06.2006 12:00:00; 0,876
30.07.2006 06:15:00; 0,730
01.08.2006 00:00:00; 0,800
11.09.2006 05:30:00; 0,665
31.10.2006 16:45:00; 0,657
