Messstelle:                ;Roßleithen (Klammstein)
HZB-Nummer:                ;206821
HD-Nummer:                 ;8460
DBMS-Nummer:               ;4001223
Gewässer:                  ;Hinterer Rettenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;15,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1991              ;00590,00
   10.11.1992              ;00593,60
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1990              ;523065,00 - 290890,00
   01.01.2018              ;523078,07 - 290908,33
Exportzeitreihe:           ;(4001223,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1991 00:15,01.01.2022 00:00]
Werte:
20.05.2013 15:01:45; 0,690
22.06.2013 14:45:00; 0,536
30.07.2013 12:45:00; 0,161
04.08.2013 16:30:00; 0,120
09.09.2013 06:15:00; 0,239
10.10.2013 05:45:00; 0,170
03.11.2013 09:45:00; 0,221
31.12.2013 23:59:55; 0,291
31.01.2014 02:45:00; 0,182
15.02.2014 09:45:00; 0,236
07.03.2014 16:30:00; 0,214
17.04.2014 15:00:00; 0,600
09.05.2014 12:30:00; 0,741
19.06.2014 12:00:00; 0,219
20.07.2014 15:15:00; 0,241
30.08.2014 11:15:00; 0,821
08.09.2014 15:30:05; 0,241
01.10.2014 00:00:00; 0,289
30.11.2014 23:59:55; 0,147
17.12.2014 04:45:00; 0,082
01.01.2015 00:00:00; 0,164
11.02.2015 20:15:00; 0,141
07.03.2015 19:30:00; 0,249
08.04.2015 15:45:00; 0,318
18.05.2015 12:00:00; 0,798
15.06.2015 14:00:00; 0,231
25.07.2015 17:30:00; 0,125
16.08.2015 08:30:00; 0,073
02.09.2015 18:00:00; 0,070
04.10.2015 18:45:00; 0,113
20.11.2015 08:00:00; 0,061
31.12.2015 23:59:55; 0,182
08.01.2016 12:30:00; 0,102
20.02.2016 19:30:00; 0,267
14.03.2016 22:15:00; 0,224
29.04.2016 14:15:00; 0,390
01.05.2016 16:00:00; 0,635
30.06.2016 12:00:00; 0,403
25.07.2016 11:15:00; 0,453
29.08.2016 14:30:00; 0,231
05.09.2016 04:00:00; 0,186
02.10.2016 17:00:00; 0,201
30.11.2016 23:59:55; 0,230
06.12.2016 00:30:00; 0,170
15.01.2017 09:45:00; 0,146
09.02.2017 18:15:00; 0,292
08.03.2017 11:45:00; 0,375
21.04.2017 09:15:00; 0,480
30.05.2017 09:30:00; 0,874
22.06.2017 11:00:00; 0,282
09.07.2017 06:15:00; 0,274
19.08.2017 01:15:00; 0,280
30.09.2017 23:59:55; 0,333
23.10.2017 03:15:00; 0,267
