Messstelle:                ;Nußdorf
HZB-Nummer:                ;203844
HD-Nummer:                 ;
DBMS-Nummer:               ;5001079
Gewässer:                  ;Oichten
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;40,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1983              ;00416,00
   26.04.2007              ;00414,11
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1983              ;425530,00 - 315620,00
Exportzeitreihe:           ;(5001079,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1983 01:00,01.01.2022 00:00]
Werte:
14.07.2016 08:45:00;   189
05.08.2016 21:15:00;   109
20.09.2016 01:00:00;   178
18.10.2016 21:00:00;    70
06.11.2016 17:15:00;   127
02.12.2016 20:00:00;    40
31.01.2017 22:30:00;    82
21.02.2017 17:30:00;    89
09.03.2017 20:45:00;   157
28.04.2017 23:45:00;   109
08.05.2017 23:30:00;   147
06.06.2017 20:00:00;    65
27.07.2017 02:45:00;   170
19.08.2017 14:00:00;    54
03.09.2017 02:15:00;   166
09.10.2017 10:30:00;   112
12.11.2017 13:15:00;   102
22.12.2017 02:30:00;   120
04.01.2018 22:00:00;   159
16.02.2018 12:45:00;    72
29.03.2018 11:00:00;    48
01.04.2018 20:15:00;    40
04.05.2018 22:00:00;    34
29.06.2018 12:00:00;    55
07.07.2018 06:30:00;    52
26.08.2018 08:45:00;    51
19.09.2018 06:15:00;    69
27.10.2018 23:30:00;    34
23.11.2018 08:00:00;    42
24.12.2018 10:00:00;   155
14.01.2019 05:00:00;   164
22.02.2019 17:30:00;   116
15.03.2019 21:15:00;    85
30.04.2019 23:59:55;    38
21.05.2019 09:30:00;   164
01.06.2019 00:00:00;    57
29.07.2019 05:15:00;    69
25.08.2019 20:30:00;    49
02.09.2019 08:45:00;    93
09.10.2019 23:30:00;    90
05.11.2019 18:30:00;    82
25.12.2019 22:00:00;   103
18.01.2020 13:00:00;    58
03.02.2020 22:30:00;   209
10.03.2020 23:15:00;    98
30.04.2020 23:59:55;    55
01.05.2020 01:45:00;    59
29.06.2020 12:15:00;   192
17.07.2020 03:00:00;   148
04.08.2020 11:15:00;   247
26.09.2020 10:00:00;    76
30.10.2020 09:15:00;   150
04.11.2020 03:45:00;    82
25.12.2020 20:00:00;    59
29.01.2021 01:00:00;   124
17.02.2021 10:15:00;    54
19.03.2021 20:45:00;    68
20.04.2021 20:15:00;    58
13.05.2021 13:30:00;   105
05.06.2021 23:00:00;   161
28.07.2021 15:30:00;   101
30.08.2021 13:00:00;   242
01.09.2021 00:00:00;   111
13.10.2021 06:30:00;    43
04.11.2021 10:45:00;   104
30.12.2021 06:00:00;   144
