Messstelle:                ;Arzberg (Moderbach)
HZB-Nummer:                ;210955
HD-Nummer:                 ;ow4025
DBMS-Nummer:               ;6001046
Gewässer:                  ;Moderbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;82,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00570,68
   01.01.1982              ;00574,01
   01.01.1996              ;00575,18
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1972              ;687859,40 - 234915,40
   01.01.1996              ;687863,90 - 234887,70
   01.01.2018              ;687863,20 - 234887,40
Exportzeitreihe:           ;(6001046,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
27.12.2013 03:45:00;    66
05.01.2014 19:45:00;    61
19.02.2014 23:15:00;    73
04.03.2014 13:00:00;    67
08.04.2014 23:30:00;    59
11.05.2014 18:00:00;    97
28.06.2014 19:00:00;    93
26.07.2014 20:00:00;   116
03.08.2014 19:00:00;   151
13.09.2014 05:30:00;   121
21.10.2014 22:30:00;   108
18.11.2014 05:30:00;    88
07.12.2014 04:15:00;    65
10.01.2015 13:15:00;    70
24.02.2015 12:00:00;    56
25.03.2015 20:30:00;    59
02.04.2015 18:15:00;    57
23.05.2015 03:00:00;    77
09.06.2015 17:30:00;    66
08.07.2015 15:15:00;    78
17.08.2015 02:30:00;    71
24.09.2015 01:00:00;    56
15.10.2015 15:00:00;    87
01.11.2015 00:00:00;    50
02.12.2015 06:30:00;    46
11.01.2016 19:30:00;    71
19.02.2016 03:00:00;    74
09.03.2016 15:00:00;    57
08.04.2016 12:30:00;    58
24.05.2016 06:15:00;    59
27.06.2016 06:45:00;   119
14.07.2016 02:15:00;   117
05.08.2016 17:15:00;   101
04.09.2016 21:15:00;    58
25.10.2016 23:45:00;    65
06.11.2016 19:30:00;    84
01.12.2016 00:30:00;    48
30.01.2017 08:30:00;    52
06.02.2017 08:30:00;    98
01.03.2017 02:00:00;    55
04.04.2017 16:00:00;    72
21.05.2017 06:00:00;    50
02.06.2017 18:00:00;    97
30.07.2017 18:15:00;    80
04.08.2017 22:45:00;    88
19.09.2017 08:30:00;    71
22.10.2017 15:15:00;    62
08.11.2017 13:00:00;    64
28.12.2017 04:45:00;    77
10.01.2018 14:45:00;    54
26.02.2018 12:15:00;    58
17.03.2018 20:00:00;    74
16.04.2018 18:30:00;    97
24.05.2018 14:15:00;   238
01.06.2018 13:00:00;   226
10.07.2018 20:30:00;    93
05.08.2018 16:15:00;   153
01.09.2018 12:45:00;   111
30.10.2018 03:30:00;    76
26.11.2018 12:45:00;    77
01.12.2018 00:45:00;    53
14.01.2019 03:00:00;    51
03.02.2019 17:45:00;    58
08.03.2019 22:30:00;    53
11.04.2019 15:45:00;    56
28.05.2019 09:45:00;    66
20.06.2019 22:45:00;    84
31.07.2019 20:45:00;    73
01.08.2019 00:00:00;    51
07.09.2019 21:30:00;    58
14.10.2019 19:15:00;    51
13.11.2019 14:15:00;    82
21.12.2019 17:45:00;    69
01.01.2020 02:45:00;    51
04.02.2020 10:30:00;    52
06.03.2020 15:00:00;    50
27.04.2020 16:30:00;    52
01.05.2020 18:00:00;    54
29.06.2020 14:30:00;    55
01.07.2020 19:15:00;   130
03.08.2020 22:15:00;   105
25.09.2020 21:15:00;   100
11.10.2020 22:30:00;    80
16.11.2020 15:45:00;    56
07.12.2020 02:15:00;    73
03.01.2021 05:45:00;    61
08.02.2021 15:15:00;    68
01.03.2021 00:00:00;    58
12.04.2021 18:15:00;    56
27.05.2021 18:30:00;    59
25.06.2021 16:45:00;    76
17.07.2021 14:15:00;    64
03.08.2021 18:45:00;   146
27.09.2021 09:45:00;    53
06.10.2021 14:15:00;    50
02.11.2021 04:15:00;    71
02.12.2021 16:00:00;    51
