Messstelle:                ;St. Peter-Freienstein
HZB-Nummer:                ;211193
HD-Nummer:                 ;ow2705
DBMS-Nummer:               ;6001069
Gewässer:                  ;Vordernberger Bach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;167,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00571,35
   01.01.1979              ;00595,02
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1953              ;00000,00 - 00000,00
   01.01.1979              ;651919,10 - 251410,90
   01.01.2018              ;651923,60 - 251429,40
Exportzeitreihe:           ;(6001069,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 01:00,01.01.2022 00:00]
Werte:
08.06.2016 18:20:00;    61
14.07.2016 12:35:00;    79
15.08.2016 12:05:00;    66
06.09.2016 12:30:00;    60
20.10.2016 04:30:00;    45
06.11.2016 15:45:00;    54
02.12.2016 15:00:00;    35
07.01.2017 14:15:00;    31
23.02.2017 16:00:00;    36
21.03.2017 11:45:00;    61
04.04.2017 16:15:00;    55
14.05.2017 21:45:00;    55
25.06.2017 14:45:00;    52
09.07.2017 20:30:00;    82
05.08.2017 22:15:00;    77
21.09.2017 12:30:00;    57
29.10.2017 15:55:00;    62
06.11.2017 03:10:00;    61
28.12.2017 05:15:00;    43
04.01.2018 10:15:00;    47
10.02.2018 13:15:00;    41
31.03.2018 22:55:30;    45
17.04.2018 22:10:30;    77
01.05.2018 19:10:30;    62
12.06.2018 17:15:00;    98
10.07.2018 19:00:00;    51
07.08.2018 14:15:00;    78
01.09.2018 14:00:00;    57
30.10.2018 01:45:00;    71
01.11.2018 02:15:00;    51
24.12.2018 08:30:00;    64
05.01.2019 11:45:00;    50
22.02.2019 18:15:00;    52
17.03.2019 22:15:00;    63
10.04.2019 12:15:00;    76
11.05.2019 18:00:00;    77
20.06.2019 21:15:00;    74
27.07.2019 18:15:00;    67
29.08.2019 17:00:00;    47
28.09.2019 09:15:00;    39
02.10.2019 09:45:00;    27
18.11.2019 15:15:00;    54
25.12.2019 22:15:00;    40
01.01.2020 00:15:00;    34
03.02.2020 18:15:00;    51
21.03.2020 10:45:00;    54
11.04.2020 12:00:00;    56
23.05.2020 19:30:00;    48
10.06.2020 15:15:00;    59
11.07.2020 11:15:00;    46
04.08.2020 05:15:00;    60
06.09.2020 18:30:00;    70
11.10.2020 10:45:00;    42
