Messstelle:                ;Arzberg (Raab)
HZB-Nummer:                ;211698
HD-Nummer:                 ;ow4027
DBMS-Nummer:               ;6001118
Gewässer:                  ;Raab
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;119,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1982              ;00566,62
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1982              ;688410,60 - 234572,20
   01.01.2018              ;688446,30 - 234565,00
Exportzeitreihe:           ;(6001118,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1982 00:30,01.01.2022 00:00]
Werte:
04.06.2007 00:23:00;  4,84
10.07.2007 05:04:00;  1,68
30.08.2007 16:04:00;  6,87
28.09.2007 05:49:00;  9,23
01.10.2007 03:04:00;  1,32
12.11.2007 01:49:00;  1,06
08.12.2007 05:04:00;  1,62
17.01.2008 20:34:00; 0,873
17.02.2008 12:49:00; 0,795
02.03.2008 14:34:00; 0,941
21.04.2008 19:49:00;  3,93
20.05.2008 15:34:00;  1,24
11.06.2008 12:19:00;  8,17
17.07.2008 15:35:00;  13,2
15.08.2008 22:05:00;  10,5
12.09.2008 02:20:00;  1,25
03.10.2008 21:05:00;  1,11
08.11.2008 12:50:00;  1,38
11.12.2008 20:04:00;  4,06
21.01.2009 20:19:00;  5,55
08.02.2009 12:34:00;  5,36
05.03.2009 14:34:00;  6,57
05.04.2009 06:46:00;  2,58
18.05.2009 20:31:00;  72,7
29.06.2009 13:16:00;  10,6
18.07.2009 12:46:00;  40,9
27.08.2009 17:31:00;  18,6
04.09.2009 19:16:00;  17,2
10.10.2009 22:31:00;  5,38
08.11.2009 20:01:00;  3,88
25.12.2009 18:18:00;  4,69
01.01.2010 08:02:00;  1,24
26.02.2010 17:48:00;  2,29
01.03.2010 17:48:00;  2,52
02.04.2010 00:02:00;  1,33
26.05.2010 21:18:00;  2,90
16.06.2010 09:03:00;  39,1
23.07.2010 17:21:00;  4,44
11.08.2010 20:06:00;  10,9
26.09.2010 03:21:00;  3,39
17.10.2010 21:06:00;  1,71
22.11.2010 04:06:00;  3,57
25.12.2010 03:51:00;  2,77
15.01.2011 15:28:00;  2,04
05.02.2011 15:58:00;  1,20
17.03.2011 08:58:00;  7,50
25.04.2011 15:43:00;  1,47
28.05.2011 09:43:00;  1,40
23.06.2011 19:28:00;  28,7
24.07.2011 14:43:00;  1,76
15.08.2011 17:13:00;  3,89
19.09.2011 17:43:00;  6,12
07.10.2011 09:28:00;  2,34
01.11.2011 18:58:00; 0,588
17.12.2011 01:58:00; 0,706
31.01.2012 11:45:00; 0,712
25.02.2012 13:42:00;  2,47
01.03.2012 00:12:00; 0,988
12.04.2012 05:42:00;  1,12
22.05.2012 08:57:00;  1,68
21.06.2012 21:12:00;  75,3
21.07.2012 14:57:00;  16,0
01.08.2012 03:12:00;  2,46
13.09.2012 00:12:00;  3,23
15.10.2012 23:42:00;  8,13
05.11.2012 10:57:00;  21,8
01.12.2012 04:27:00;  1,13
05.01.2013 00:57:00;  1,63
26.02.2013 23:12:00;  2,49
10.03.2013 16:27:00;  6,48
22.04.2013 20:57:00;  4,17
07.05.2013 01:57:00;  26,3
10.06.2013 18:15:00;  10,8
04.07.2013 18:00:05;  6,32
09.08.2013 19:30:00;  3,34
10.09.2013 23:00:00;  3,15
30.10.2013 07:00:00;  3,43
09.11.2013 21:00:25;  7,37
01.12.2013 03:45:05;  2,19
05.01.2014 20:15:05;  1,61
20.02.2014 17:00:05;  3,00
04.03.2014 13:45:05;  2,46
08.04.2014 23:45:05;  1,89
11.05.2014 21:00:05;  6,24
28.06.2014 19:15:05;  4,91
26.07.2014 20:15:00;  12,1
03.08.2014 19:15:00;  44,5
13.09.2014 05:30:05;  12,8
21.10.2014 22:15:00;  9,66
18.11.2014 06:00:00;  6,41
07.12.2014 01:00:00;  2,11
10.01.2015 07:15:00;  2,65
01.02.2015 12:30:00;  1,31
25.03.2015 21:15:00;  1,47
02.04.2015 18:30:00;  1,10
23.05.2015 03:15:00;  2,46
09.06.2015 17:45:00;  1,34
08.07.2015 16:00:00;  2,75
17.08.2015 02:45:00;  1,72
26.09.2015 00:30:00; 0,827
15.10.2015 14:45:00;  4,84
02.11.2015 12:30:00; 0,782
05.12.2015 13:45:00; 0,528
11.01.2016 20:00:00;  1,87
19.02.2016 03:15:00;  3,11
09.03.2016 17:15:00;  1,29
08.04.2016 13:00:00;  1,09
24.05.2016 06:30:00;  1,25
27.06.2016 06:41:45;  13,4
12.07.2016 17:41:45;  14,7
05.08.2016 17:26:45;  9,16
04.09.2016 22:56:45;  1,27
25.10.2016 23:11:45;  1,85
06.11.2016 19:41:45;  4,25
31.12.2016 11:56:45; 0,753
23.01.2017 11:26:00; 0,653
06.02.2017 13:56:00;  6,74
01.03.2017 03:11:00; 0,741
04.04.2017 16:11:00;  1,72
04.05.2017 16:11:00; 0,572
02.06.2017 17:56:00;  4,74
30.07.2017 18:26:00;  2,16
04.08.2017 22:41:00;  3,61
19.09.2017 09:11:00;  1,84
22.10.2017 16:11:00;  1,06
08.11.2017 12:56:00;  1,22
28.12.2017 04:56:00;  2,53
10.01.2018 13:41:00; 0,736
01.02.2018 23:11:00; 0,682
17.03.2018 20:41:00;  2,73
16.04.2018 18:26:00;  6,63
24.05.2018 13:41:00;  54,6
01.06.2018 13:13:00;  42,1
10.07.2018 20:43:00;  6,58
05.08.2018 16:28:00;  17,3
01.09.2018 13:00:00;  10,9
30.10.2018 04:15:00;  3,05
26.11.2018 12:30:00;  3,24
01.12.2018 03:26:00; 0,874
14.01.2019 05:26:00; 0,759
03.02.2019 07:15:00;  1,31
08.03.2019 22:56:00; 0,574
11.04.2019 16:41:00; 0,890
28.05.2019 10:26:00;  3,11
20.06.2019 22:56:00;  4,75
18.07.2019 13:56:00;  3,17
01.08.2019 00:00:00; 0,777
08.09.2019 22:56:00;  2,21
02.10.2019 16:26:00; 0,708
13.11.2019 14:11:00;  7,03
21.12.2019 18:11:00;  3,28
01.01.2020 03:41:00; 0,590
04.02.2020 10:45:00; 0,684
06.03.2020 14:45:00; 0,574
19.04.2020 16:30:00;  1,03
01.05.2020 18:00:00;  1,21
29.06.2020 14:26:00;  1,78
01.07.2020 19:11:00;  17,6
03.08.2020 22:11:00;  8,22
25.09.2020 21:11:00;  9,17
11.10.2020 23:11:00;  4,55
16.11.2020 16:26:00;  1,07
07.12.2020 02:26:00;  2,26
23.01.2021 15:11:00;  1,31
08.02.2021 15:56:00;  2,23
01.03.2021 15:11:00;  1,09
12.04.2021 18:56:00;  1,06
27.05.2021 18:11:00;  1,39
25.06.2021 16:56:00;  4,07
17.07.2021 14:26:00;  2,24
03.08.2021 18:41:00;  14,9
27.09.2021 09:56:00; 0,826
07.10.2021 08:41:00; 0,761
02.11.2021 04:26:00;  2,47
20.12.2021 12:15:00; 0,619
