Messstelle:                ;Lustenau (Hofsteig)
HZB-Nummer:                ;200220
HD-Nummer:                 ;
DBMS-Nummer:               ;8001022
Gewässer:                  ;Rheintalbinnenkanal
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;78,51
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00400,50
   01.01.1986              ;00399,60
   01.01.1996              ;00399,56
   14.10.2014              ;00399,52
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1949              ;101964,00 - 255286,00
Exportzeitreihe:           ;(8001022,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 01:00,01.01.2022 00:00]
Werte:
20.07.2001 13:54:00;  14,2
04.08.2001 10:50:40;  15,8
09.09.2001 04:36:40;  15,0
25.10.2001 13:57:55;  3,08
30.11.2001 23:59:55;  9,46
02.12.2001 01:52:25;  10,0
27.01.2002 22:50:30;  3,07
07.02.2002 02:20:25;  4,89
20.03.2002 01:42:40;  10,4
24.04.2002 20:46:05;  14,2
28.05.2002 14:02:00;  11,1
10.06.2002 09:59:40;  25,2
18.07.2002 00:51:55;  23,8
12.08.2002 02:00:00;  50,4
23.09.2002 09:30:15;  22,7
17.10.2002 22:38:25;  18,5
03.11.2002 15:52:55;  19,1
17.12.2002 09:12:25;  11,9
02.01.2003 20:44:25;  6,94
04.02.2003 04:32:05;  7,71
12.03.2003 21:30:35;  5,60
03.04.2003 05:22:50;  3,43
22.05.2003 22:55:05;  5,43
18.06.2003 10:44:20;  1,97
28.07.2003 03:06:00;  4,39
31.08.2003 09:57:25;  2,56
23.09.2003 23:36:55;  5,22
05.10.2003 11:58:20;  19,8
01.11.2003 13:15:20;  6,56
01.12.2003 23:19:55;  2,02
13.01.2004 19:07:15;  15,9
07.02.2004 18:47:10;  4,39
25.03.2004 03:06:15;  7,37
24.04.2004 04:16:40;  4,64
06.05.2004 17:00:35;  7,06
04.06.2004 01:56:05;  26,7
09.07.2004 06:18:50;  25,5
20.08.2004 07:43:20;  2,40
25.09.2004 05:43:10;  11,7
16.10.2004 09:40:45;  8,58
07.11.2004 16:45:25;  2,08
19.12.2004 18:03:50;  3,03
03.01.2005 00:00:00;  2,92
13.02.2005 03:51:10;  11,9
31.03.2005 03:00:00;  4,99
10.04.2005 01:30:00;  9,03
08.05.2005 05:30:00;  12,2
07.06.2005 07:30:00;  11,5
12.07.2005 00:15:00;  12,4
23.08.2005 05:30:00;  40,1
17.09.2005 10:30:00;  4,24
03.10.2005 02:30:00;  11,4
05.11.2005 11:45:00;  2,29
03.12.2005 15:00:00;  3,54
01.01.2006 11:30:00;  2,69
16.02.2006 16:20:05;  7,16
09.03.2006 18:00:00;  11,2
28.04.2006 15:25:00;  27,3
29.05.2006 20:45:00;  23,4
01.06.2006 22:30:00;  10,6
12.07.2006 03:19:20;  10,8
06.08.2006 15:55:00;  16,9
17.09.2006 10:00:00;  9,91
03.10.2006 23:55:00;  10,5
14.11.2006 15:20:00;  1,71
09.12.2006 14:10:00;  10,7
09.01.2007 12:15:00;  6,79
15.02.2007 10:20:00;  4,12
02.03.2007 10:05:00;  9,67
04.04.2007 04:47:30;  6,44
18.05.2007 00:30:00;  9,78
15.06.2007 22:05:00;  3,99
30.07.2007 08:15:00;  12,3
09.08.2007 07:10:00;  23,8
04.09.2007 11:20:00;  26,4
30.10.2007 23:35:00;  1,72
14.11.2007 18:25:00;  4,34
11.12.2007 21:00:00;  9,92
07.01.2008 15:50:00;  6,90
27.02.2008 12:15:00;  1,36
21.03.2008 22:30:00;  6,46
22.04.2008 09:25:00;  19,8
18.05.2008 04:50:00;  2,54
13.06.2008 05:00:00;  4,45
14.07.2008 14:35:00;  41,4
16.08.2008 00:40:00;  23,4
07.09.2008 13:45:00;  15,4
17.10.2008 03:35:00;  8,91
21.11.2008 21:00:00;  3,41
21.12.2008 11:40:00;  16,0
23.01.2009 21:55:00;  2,09
17.02.2009 22:40:00;  3,74
