Messstelle:                ;Riedau
HZB-Nummer:                ;204784
HD-Nummer:                 ;2810
DBMS-Nummer:               ;4001027
Gewässer:                  ;Pram
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;60,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.05.1969              ;00369,00
   01.01.1988              ;00366,89
   01.01.2014              ;00365,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.05.1969              ;472140,00 - 351620,00
   22.06.2009              ;472118,00 - 351637,00
   01.01.2014              ;472216,93 - 351857,88
   25.03.2020              ;472212,75 - 351857,14
Exportzeitreihe:           ;(4001027,Abfluss,I,Mit,T,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
25.06.1977 00:00:00; 0,302
26.06.1977 00:00:00;  1,12
27.06.1977 00:00:00;  2,30
28.06.1977 00:00:00; 0,930
29.06.1977 00:00:00; 0,653
30.06.1977 00:00:00;  1,79
01.07.1977 00:00:00;  1,22
02.07.1977 00:00:00; 0,651
03.07.1977 00:00:00; 0,485
04.07.1977 00:00:00; 0,426
05.07.1977 00:00:00; 0,323
06.07.1977 00:00:00; 0,307
07.07.1977 00:00:00; 0,301
08.07.1977 00:00:00; 0,286
09.07.1977 00:00:00; 0,283
10.07.1977 00:00:00; 0,279
11.07.1977 00:00:00; 0,264
12.07.1977 00:00:00; 0,262
13.07.1977 00:00:00; 0,262
14.07.1977 00:00:00; 0,262
15.07.1977 00:00:00; 0,262
16.07.1977 00:00:00; 0,262
17.07.1977 00:00:00; 0,262
18.07.1977 00:00:00; 0,262
19.07.1977 00:00:00; 0,262
20.07.1977 00:00:00; 0,262
21.07.1977 00:00:00; 0,261
22.07.1977 00:00:00; 0,261
23.07.1977 00:00:00; 0,261
24.07.1977 00:00:00; 0,258
25.07.1977 00:00:00; 0,244
26.07.1977 00:00:00; 0,239
27.07.1977 00:00:00; 0,226
28.07.1977 00:00:00; 0,301
29.07.1977 00:00:00; 0,310
30.07.1977 00:00:00; 0,244
31.07.1977 00:00:00;  1,13
01.08.1977 00:00:00;  5,62
02.08.1977 00:00:00;  4,62
03.08.1977 00:00:00;  1,26
04.08.1977 00:00:00; 0,671
05.08.1977 00:00:00; 0,486
06.08.1977 00:00:00; 0,415
07.08.1977 00:00:00; 0,378
08.08.1977 00:00:00; 0,346
09.08.1977 00:00:00; 0,460
10.08.1977 00:00:00;  2,42
11.08.1977 00:00:00;  4,78
12.08.1977 00:00:00;  1,29
13.08.1977 00:00:00; 0,772
14.08.1977 00:00:00;  1,03
15.08.1977 00:00:00; 0,940
16.08.1977 00:00:00; 0,651
17.08.1977 00:00:00; 0,558
18.08.1977 00:00:00; 0,533
19.08.1977 00:00:00;  4,97
20.08.1977 00:00:00;  1,81
21.08.1977 00:00:00;  2,16
22.08.1977 00:00:00;  12,4
23.08.1977 00:00:00;  6,00
24.08.1977 00:00:00;  2,26
25.08.1977 00:00:00;  1,34
26.08.1977 00:00:00; 0,968
27.08.1977 00:00:00; 0,785
28.08.1977 00:00:00; 0,720
29.08.1977 00:00:00; 0,670
30.08.1977 00:00:00; 0,568
31.08.1977 00:00:00; 0,499
01.09.1977 00:00:00; 0,478
02.09.1977 00:00:00; 0,487
03.09.1977 00:00:00; 0,472
04.09.1977 00:00:00; 0,928
05.09.1977 00:00:00; 0,767
06.09.1977 00:00:00; 0,539
07.09.1977 00:00:00; 0,469
08.09.1977 00:00:00; 0,413
09.09.1977 00:00:00; 0,668
10.09.1977 00:00:00; 0,499
11.09.1977 00:00:00; 0,428
12.09.1977 00:00:00; 0,401
13.09.1977 00:00:00; 0,408
14.09.1977 00:00:00; 0,387
15.09.1977 00:00:00; 0,387
16.09.1977 00:00:00; 0,361
17.09.1977 00:00:00; 0,362
18.09.1977 00:00:00; 0,357
19.09.1977 00:00:00; 0,392
20.09.1977 00:00:00; 0,380
21.09.1977 00:00:00; 0,360
22.09.1977 00:00:00; 0,342
23.09.1977 00:00:00; 0,328
24.09.1977 00:00:00; 0,321
25.09.1977 00:00:00; 0,317
26.09.1977 00:00:00; 0,322
27.09.1977 00:00:00; 0,309
28.09.1977 00:00:00; 0,288
29.09.1977 00:00:00; 0,315
30.09.1977 00:00:00; 0,313
01.10.1977 00:00:00; 0,313
02.10.1977 00:00:00; 0,383
03.10.1977 00:00:00; 0,409
04.10.1977 00:00:00; 0,390
05.10.1977 00:00:00; 0,348
06.10.1977 00:00:00; 0,375
07.10.1977 00:00:00; 0,344
08.10.1977 00:00:00; 0,342
09.10.1977 00:00:00; 0,326
10.10.1977 00:00:00; 0,335
11.10.1977 00:00:00; 0,469
12.10.1977 00:00:00; 0,348
13.10.1977 00:00:00; 0,316
14.10.1977 00:00:00; 0,303
15.10.1977 00:00:00; 0,294
16.10.1977 00:00:00; 0,303
17.10.1977 00:00:00; 0,300
18.10.1977 00:00:00; 0,283
19.10.1977 00:00:00; 0,281
20.10.1977 00:00:00; 0,272
21.10.1977 00:00:00; 0,273
