Messstelle:                ;Koflerkreuz
HZB-Nummer:                ;202077
HD-Nummer:                 ;
DBMS-Nummer:               ;7001098
Gewässer:                  ;Zirmbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;64,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1978              ;01370,00
   03.05.1983              ;01383,55
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1973              ;210448,31 - 229472,79
Exportzeitreihe:           ;(7001098,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1981 00:30,01.01.2022 00:00]
Werte:
20.12.2006 10:00:00;    19
26.01.2007 23:00:00;    18
27.02.2007 11:00:00;    16
12.03.2007 01:30:00;    17
05.04.2007 09:30:00;    18
04.05.2007 15:15:00;    28
20.06.2007 16:45:00;    31
31.07.2007 15:15:00;    28
05.08.2007 17:15:00;    27
30.09.2007 23:15:00;    36
30.10.2007 22:15:00;    26
28.11.2007 11:45:00;    22
30.12.2007 06:15:00;    18
29.01.2008 07:00:00;    17
16.02.2008 07:45:00;    16
25.03.2008 08:15:00;     9
07.04.2008 04:30:00;    13
02.05.2008 10:30:00;    28
26.06.2008 14:45:00;    45
06.07.2008 17:30:00;    44
29.08.2008 14:00:00;    37
30.09.2008 12:45:00;    33
30.10.2008 22:15:00;    25
21.11.2008 21:30:00;    20
31.12.2008 17:30:00;    19
31.01.2009 07:00:00;    17
23.02.2009 21:30:00;    15
07.03.2009 03:30:00;     5
01.04.2009 11:00:00;    18
01.05.2009 02:30:00;    28
14.06.2009 14:00:00;    37
17.07.2009 00:15:00;    36
30.08.2009 17:30:00;    37
28.09.2009 19:45:00;    35
28.10.2009 10:45:00;    30
27.11.2009 09:45:00;    23
31.12.2009 05:30:00;    20
15.01.2010 17:15:00;    18
21.02.2010 05:45:00;    17
05.03.2010 23:00:00;    16
02.04.2010 06:30:00;    18
01.05.2010 01:45:00;    30
02.06.2010 14:30:00;    40
16.07.2010 17:45:00;    36
26.08.2010 14:45:00;    42
30.09.2010 09:30:00;    36
28.10.2010 01:00:00;    26
27.11.2010 04:30:00;    24
27.12.2010 08:30:00;    20
31.01.2011 13:15:00;    19
23.02.2011 08:30:00;    17
21.03.2011 07:15:00;    16
01.04.2011 07:15:00;    20
06.05.2011 18:15:00;    23
07.06.2011 12:00:00;    30
17.07.2011 16:15:00;    31
31.08.2011 20:00:00;    30
16.09.2011 20:45:00;    27
06.10.2011 16:15:00;    27
30.11.2011 23:59:55;    22
30.12.2011 16:30:00;    20
06.01.2012 12:30:00;    18
16.02.2012 03:00:00;    16
01.03.2012 11:45:00;    18
25.04.2012 10:15:00;    22
08.05.2012 10:15:00;    36
30.06.2012 13:00:00;    43
09.07.2012 16:00:00;    39
20.08.2012 17:45:00;    36
30.09.2012 15:00:00;    38
31.10.2012 08:30:00;    36
30.11.2012 09:45:00;    24
27.12.2012 23:30:00;    21
26.01.2013 03:00:00;    19
23.02.2013 07:30:00;    18
16.03.2013 04:15:00;    16
01.04.2013 08:00:00;    18
28.05.2013 23:15:00;    37
01.06.2013 10:15:00;    40
31.07.2013 21:30:00;    36
17.08.2013 16:30:00;    33
08.09.2013 16:45:00;    35
10.10.2013 04:45:00;    38
30.11.2013 06:15:00;    29
31.12.2013 02:15:00;    23
26.01.2014 07:00:00;    20
13.02.2014 00:45:00;    20
03.03.2014 07:45:00;    20
01.04.2014 03:30:00;    25
05.05.2014 14:00:00;    34
28.06.2014 14:15:00;    34
