Messstelle:                ;Timelkam
HZB-Nummer:                ;205393
HD-Nummer:                 ;5490
DBMS-Nummer:               ;4001086
Gewässer:                  ;Vöckla
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;331,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1940              ;00441,65
   01.01.1977              ;00441,60
   05.12.1989              ;00441,00
   01.01.2006              ;00441,65
   29.06.2013              ;00442,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1962              ;470600,00 - 318500,00
   29.06.2013              ;470204,30 - 318586,40
   01.01.2020              ;470298,62 - 318612,52
Exportzeitreihe:           ;(4001086,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
18.06.1996 05:45:00;    99
28.07.1996 15:15:00;   104
22.08.1996 08:45:00;    81
01.09.1996 06:45:00;    93
12.10.1996 15:30:00;   106
14.11.1996 16:45:00;   112
26.12.1996 22:00:00;   103
31.01.1997 20:49:50;    99
03.02.1997 06:41:25;    97
14.03.1997 19:55:20;   111
19.04.1997 11:01:35;   112
18.05.1997 16:09:00;    95
18.06.1997 13:03:05;    93
04.07.1997 19:04:45;    92
15.08.1997 17:22:05;    98
30.09.1997 12:11:35;    79
09.10.1997 09:55:30;    88
10.11.1997 01:51:50;    90
09.12.1997 02:23:20;    99
31.01.1998 21:07:55;    90
01.02.1998 11:07:55;    95
04.03.1998 19:06:00;    97
28.04.1998 09:13:55;    85
27.05.1998 21:13:25;    89
05.06.1998 23:19:10;    88
01.07.1998 19:39:05;    92
31.08.1998 14:57:15;    75
02.09.1998 22:59:00;    79
25.10.1998 10:27:00;    92
08.11.1998 11:31:40;    95
05.12.1998 18:36:50;    94
21.01.1999 14:42:30;    93
01.02.1999 13:24:40;    86
16.03.1999 08:20:45;   113
30.04.1999 21:32:25;   106
11.05.1999 05:00:40;    88
25.06.1999 19:45:00;    92
04.07.1999 15:00:00;    90
24.08.1999 00:45:00;    76
15.09.1999 00:45:00;    86
30.10.1999 17:15:00;    78
03.11.1999 04:15:00;    85
01.12.1999 08:30:00;    91
14.01.2000 14:30:00;    91
24.02.2000 08:45:00;   117
07.03.2000 18:15:00;   114
29.04.2000 20:00:00;    96
15.05.2000 04:00:00;    92
29.06.2000 05:15:00;    80
10.07.2000 23:45:00;    81
31.08.2000 10:45:00;    80
02.09.2000 11:00:00;    70
30.10.2000 22:00:00;    85
04.11.2000 18:15:00;    75
05.12.2000 02:00:00;    88
23.01.2001 13:00:00;    92
03.02.2001 04:15:00;    94
02.03.2001 02:45:00;   101
04.04.2001 18:45:00;    99
30.05.2001 22:29:20;    87
05.06.2001 20:05:00;    87
07.07.2001 17:38:15;    78
16.08.2001 13:32:50;    79
01.09.2001 00:00:00;    94
17.10.2001 18:00:00;    91
06.11.2001 19:00:00;    86
24.12.2001 10:45:00;   100
17.01.2002 11:45:00;   104
17.02.2002 10:00:00;   111
17.03.2002 05:30:00;   107
17.04.2002 06:15:00;   113
01.05.2002 07:30:00;    95
02.06.2002 18:45:00;    95
31.07.2002 23:15:00;    77
29.08.2002 06:15:00;    85
23.09.2002 09:45:00;    91
04.10.2002 15:45:00;   106
17.11.2002 19:00:00;   116
13.12.2002 15:15:00;   101
12.01.2003 09:15:00;   114
28.02.2003 13:45:00;   101
26.03.2003 16:00:00;   102
23.04.2003 19:30:00;    84
08.05.2003 16:00:00;    85
02.06.2003 11:45:00;    81
20.07.2003 20:00:00;    79
26.08.2003 14:00:00;    64
27.09.2003 16:00:00;    78
31.10.2003 19:30:00;    79
12.11.2003 16:45:00;    80
06.12.2003 12:15:00;    76
04.01.2004 01:00:00;    84
01.02.2004 02:45:00;    95
02.03.2004 12:00:00;    92
30.04.2004 17:15:00;    83
26.05.2004 20:30:00;    87
30.06.2004 18:45:00;    86
20.07.2004 09:30:00;    82
22.08.2004 22:45:00;    80
03.09.2004 00:45:00;    68
30.10.2004 14:15:00;    77
05.11.2004 16:15:00;    78
16.12.2004 18:30:00;    77
