Messstelle:                ;Mödling
HZB-Nummer:                ;208108
HD-Nummer:                 ;no415
DBMS-Nummer:               ;3001049
Gewässer:                  ;Mödling
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;59
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00223,46
   17.07.2000              ;00222,43
   01.01.2018              ;00223,23
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1896              ;746080,00 - 327182,00
Exportzeitreihe:           ;(3001049,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
08.02.2014 12:55:00;   124
19.03.2014 11:25:00;   123
04.04.2014 09:45:00;   122
10.05.2014 04:00:00;   123
29.06.2014 13:35:00;   125
21.07.2014 00:10:00;   123
29.08.2014 07:15:00;   121
11.09.2014 09:40:00;   124
06.10.2014 20:45:00;   126
17.11.2014 12:40:00;   126
31.12.2014 06:50:00;   124
02.01.2015 14:45:00;   126
09.02.2015 17:35:00;   127
30.03.2015 10:30:00;   130
13.04.2015 11:15:00;   128
19.05.2015 09:20:00;   126
26.06.2015 18:45:00;   124
25.07.2015 09:30:00;   121
16.08.2015 12:25:00;   119
01.09.2015 23:45:00;   121
07.10.2015 09:50:00;   123
10.11.2015 06:00:00;   125
31.12.2015 23:59:55;   124
22.01.2016 06:15:00;   123
16.02.2016 22:40:00;   128
30.03.2016 21:45:00;   129
26.04.2016 19:40:00;   127
07.05.2016 03:40:00;   126
30.06.2016 19:35:00;   125
12.07.2016 01:45:00;   123
31.08.2016 10:25:00;   126
03.09.2016 21:35:00;   124
03.10.2016 09:45:00;   124
01.11.2016 00:00:00;   127
23.12.2016 11:20:00;   127
19.01.2017 10:55:00;   124
01.02.2017 06:30:00;   124
17.03.2017 20:55:00;   127
04.04.2017 00:55:00;   128
31.05.2017 23:59:55;   126
24.06.2017 10:10:00;   123
08.07.2017 21:00:00;   122
30.08.2017 09:50:00;   121
01.09.2017 00:00:00;   121
02.10.2017 09:25:00;   122
