Messstelle:                ;Nötsch
HZB-Nummer:                ;212753
HD-Nummer:                 ;00419
DBMS-Nummer:               ;2001038
Gewässer:                  ;Gail
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;908,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1891              ;00549,15
   26.04.1929              ;00548,74
   15.07.1940              ;00545,74
   01.01.1954              ;00545,95
   01.01.1976              ;00545,95
   18.03.2003              ;00546,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1882              ;471650,10 - 160286,80
   04.08.2015              ;471573,00 - 160408,00
Exportzeitreihe:           ;(2001038,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 01:00,01.01.2022 00:00]
Werte:
31.08.2011 13:30:00;   143
12.09.2011 06:00:00;   139
18.10.2011 22:45:00;   145
29.11.2011 11:15:00;   148
31.12.2011 10:45:00;   136
31.01.2012 12:00:00;   129
04.02.2012 20:45:00;   126
12.03.2012 05:00:00;   132
01.04.2012 20:45:00;   136
31.05.2012 11:45:00;   155
23.06.2012 04:15:00;   137
09.07.2012 23:45:00;   141
25.08.2012 23:00:00;   151
11.09.2012 21:45:00;   161
15.10.2012 10:45:00;   181
01.11.2012 00:15:00;   203
31.12.2012 22:48:15;   171
30.01.2013 15:30:05;   152
28.02.2013 05:00:00;   142
02.03.2013 21:45:00;   142
03.04.2013 11:45:00;   162
16.05.2013 10:15:00;   216
30.06.2013 23:59:55;   172
29.07.2013 08:00:00;   145
19.08.2013 14:00:00;   132
25.09.2013 07:30:00;   133
05.10.2013 18:00:00;   133
02.11.2013 19:00:00;   171
21.12.2013 10:33:15;   151
31.01.2014 18:30:00;   162
01.02.2014 04:00:00;   164
07.03.2014 07:15:00;   182
22.04.2014 10:45:00;   221
18.05.2014 15:45:00;   215
23.06.2014 00:15:00;   176
28.07.2014 08:30:00;   162
30.08.2014 10:15:00;   162
30.09.2014 13:30:00;   156
13.10.2014 13:30:00;   143
03.11.2014 03:15:00;   142
30.12.2014 15:00:00;   160
31.01.2015 10:00:00;   151
23.02.2015 08:30:00;   140
08.03.2015 08:30:00;   136
08.04.2015 13:45:00;   141
13.05.2015 04:15:00;   157
14.06.2015 04:00:00;   150
23.07.2015 06:30:00;   136
31.08.2015 22:00:00;   147
02.09.2015 05:00:00;   145
10.10.2015 06:45:00;   156
30.11.2015 12:00:00;   142
28.12.2015 07:15:00;   132
24.01.2016 16:15:00;   130
01.02.2016 00:15:00;   132
17.03.2016 20:30:00;   148
29.04.2016 12:15:00;   178
22.05.2016 04:15:00;   174
11.06.2016 05:45:00;   171
11.07.2016 19:00:00;   173
29.08.2016 14:30:00;   168
29.09.2016 22:00:00;   148
13.10.2016 08:15:00;   145
04.11.2016 13:15:00;   156
31.12.2016 15:30:00;   141
25.01.2017 14:15:00;   131
01.02.2017 00:00:00;   132
14.03.2017 06:45:00;   143
24.04.2017 17:00:00;   138
31.05.2017 21:15:00;   152
24.06.2017 05:15:00;   137
20.07.2017 23:30:00;   137
05.08.2017 02:45:00;   143
01.09.2017 00:00:00;   144
31.10.2017 09:00:00;   145
03.11.2017 18:30:00;   144
10.12.2017 14:00:00;   144
28.01.2018 23:00:00;   159
26.02.2018 15:00:00;   142
07.03.2018 08:45:00;   141
04.04.2018 15:45:00;   197
31.05.2018 17:15:00;   196
30.06.2018 23:00:00;   155
31.07.2018 21:45:00;   145
21.08.2018 05:00:00;   139
29.09.2018 11:45:00;   140
23.10.2018 08:00:00;   134
30.11.2018 09:15:00;   176
31.12.2018 09:15:00;   149
26.01.2019 18:45:00;   140
01.02.2019 09:30:00;   141
30.03.2019 02:00:00;   157
01.04.2019 00:00:00;   158
17.05.2019 19:30:00;   192
30.06.2019 19:30:00;   160
26.07.2019 21:00:00;   145
31.08.2019 09:45:00;   145
01.09.2019 00:00:00;   146
27.10.2019 10:45:00;   144
02.11.2019 00:30:00;   144
16.12.2019 03:45:00;   175
31.01.2020 10:00:00;   157
21.02.2020 11:15:00;   152
01.03.2020 00:00:00;   153
05.04.2020 21:15:00;   157
31.05.2020 22:15:00;   174
04.06.2020 08:45:00;   169
22.07.2020 16:30:00;   160
01.08.2020 03:00:00;   162
24.09.2020 11:45:00;   172
02.10.2020 04:30:00;   191
30.11.2020 08:30:00;   161
02.12.2020 12:15:00;   159
17.01.2021 11:45:00;   155
03.02.2021 10:00:00;   161
23.03.2021 09:15:00;   168
19.04.2021 19:30:00;   179
21.05.2021 16:00:00;   228
30.06.2021 17:15:00;   182
30.07.2021 18:15:00;   161
31.08.2021 19:15:00;   164
29.09.2021 07:15:00;   147
03.10.2021 12:45:00;   145
01.11.2021 05:15:00;   144
30.12.2021 11:00:00;   143
