Messstelle:                ;Gaming
HZB-Nummer:                ;207746
HD-Nummer:                 ;no090
DBMS-Nummer:               ;3001014
Gewässer:                  ;Gamingbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;51,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00399,00
   01.01.1979              ;00396,15
   01.10.2006              ;00396,14
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1964              ;658312,00 - 312084,00
   01.01.1965              ;658308,00 - 312083,00
Exportzeitreihe:           ;(3001014,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
09.12.2009 13:15:00;   135
08.01.2010 14:05:00;   136
16.02.2010 10:00:00;   136
14.03.2010 17:00:00;   139
30.04.2010 19:45:00;   140
12.05.2010 06:15:00;   139
01.06.2010 02:25:00;   147
22.07.2010 11:00:00;   143
21.08.2010 07:00:00;   143
17.09.2010 15:00:00;   137
30.10.2010 12:15:00;   133
15.11.2010 21:25:00;   135
05.12.2010 01:35:00;   137
07.01.2011 10:20:00;   135
28.02.2011 21:15:00;   142
15.03.2011 18:40:00;   136
09.04.2011 12:33:00;   137
26.05.2011 21:50:00;   137
30.06.2011 01:40:00;   136
20.07.2011 11:15:00;   136
31.08.2011 11:15:00;   135
18.09.2011 14:40:00;   135
01.10.2011 08:10:00;   135
14.11.2011 09:55:00;   136
04.12.2011 15:20:00;   135
01.01.2012 00:00:00;   142
13.02.2012 09:25:00;   139
28.03.2012 17:15:00;   141
29.04.2012 00:20:00;   137
04.05.2012 06:15:00;   137
01.06.2012 01:05:00;   140
18.07.2012 20:35:00;   136
30.08.2012 14:40:00;   136
28.09.2012 15:45:00;   136
05.10.2012 12:22:10;   137
10.11.2012 22:50:35;   137
14.12.2012 22:40:20;   135
03.01.2013 17:20:00;   144
28.02.2013 11:40:00;   144
28.03.2013 10:15:00;   144
04.04.2013 14:45:00;   141
24.05.2013 00:45:00;   140
22.06.2013 15:35:00;   150
31.07.2013 16:20:00;   138
18.08.2013 13:00:00;   139
10.09.2013 18:30:00;   136
09.10.2013 11:20:00;   138
01.11.2013 22:25:00;   136
18.12.2013 14:20:00;   142
31.01.2014 13:45:00;   136
18.02.2014 20:40:00;   137
02.03.2014 14:25:00;   138
21.04.2014 15:25:00;   138
09.05.2014 16:00:00;   140
11.06.2014 10:45:00;   145
07.07.2014 14:50:00;   137
20.08.2014 15:15:00;   139
11.09.2014 14:00:00;   147
03.10.2014 17:15:00;   144
24.11.2014 17:00:00;   141
31.12.2014 06:10:00;   139
08.01.2015 12:10:00;   141
13.02.2015 21:00:00;   142
28.03.2015 15:50:00;   138
30.04.2015 05:15:00;   143
17.05.2015 19:50:00;   139
29.06.2015 17:55:00;   139
02.07.2015 18:15:00;   137
04.08.2015 17:15:00;   137
29.09.2015 13:20:00;   136
01.10.2015 05:50:00;   136
11.11.2015 17:05:00;   141
31.12.2015 10:05:00;   147
23.01.2016 02:10:00;   146
20.02.2016 14:00:00;   153
16.03.2016 13:55:00;   150
25.04.2016 15:45:00;   145
11.05.2016 16:10:00;   147
01.06.2016 12:40:00;   152
11.07.2016 20:40:00;   151
31.08.2016 16:05:00;   148
15.09.2016 12:15:00;   143
02.10.2016 15:50:00;   147
03.11.2016 14:35:00;   142
03.12.2016 11:10:00;   142
12.01.2017 16:25:00;   142
02.02.2017 18:10:00;   143
29.03.2017 14:20:00;   143
15.04.2017 19:45:00;   150
31.05.2017 22:05:00;   150
04.06.2017 10:05:00;   144
21.07.2017 16:25:00;   142
18.08.2017 06:00:00;   143
01.09.2017 00:30:00;   144
19.10.2017 15:45:00;   142
19.11.2017 06:45:00;   150
19.12.2017 13:20:00;   143
16.01.2018 15:55:00;   155
28.02.2018 23:50:00;   147
01.03.2018 18:10:00;   145
16.04.2018 17:50:00;   143
14.05.2018 13:55:00;   142
27.06.2018 16:05:00;   142
27.07.2018 17:40:00;   144
29.08.2018 08:40:00;   137
23.09.2018 15:35:00;   137
11.10.2018 08:50:00;   137
05.11.2018 18:00:00;   141
01.12.2018 05:00:00;   141
31.01.2019 18:20:00;   151
02.02.2019 01:00:00;   152
28.03.2019 20:50:00;   148
12.04.2019 04:10:00;   143
21.05.2019 07:20:00;   150
30.06.2019 13:15:00;   147
15.07.2019 10:15:00;   138
28.08.2019 18:45:00;   142
02.09.2019 16:00:00;   140
27.10.2019 03:55:00;   137
28.11.2019 19:40:00;   142
02.12.2019 12:15:00;   142
26.01.2020 14:50:00;   144
01.02.2020 18:15:00;   147
29.03.2020 12:20:00;   146
22.04.2020 07:55:00;   142
