Messstelle:                ;Lochen
HZB-Nummer:                ;204602
HD-Nummer:                 ;2140
DBMS-Nummer:               ;4001010
Gewässer:                  ;Mühlberger Bach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;15,71
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00507,00
   01.01.1990              ;00506,07
   19.04.2022              ;00498,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;438540,00 - 319650,00
   24.03.2020              ;438528,87 - 319647,89
   17.05.2022              ;438396,52 - 320367,85
Exportzeitreihe:           ;(4001010,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
18.07.2009 12:30:00;   138
04.08.2009 13:30:00;   120
03.09.2009 00:00:00;   117
17.10.2009 09:00:00;    85
04.11.2009 11:00:00;    83
11.12.2009 11:30:00;   109
17.01.2010 22:51:30;    65
26.02.2010 16:00:00;    98
17.03.2010 16:45:00;    83
30.04.2010 23:15:00;   125
01.05.2010 01:00:00;   137
02.06.2010 21:00:00;   180
24.07.2010 16:45:00;   176
07.08.2010 14:45:00;   101
01.09.2010 00:00:00;    61
25.10.2010 15:30:00;    74
12.11.2010 15:15:00;    56
09.12.2010 05:30:00;    59
13.01.2011 14:45:00;   172
12.02.2011 12:00:00;    83
18.03.2011 10:45:00;   118
04.04.2011 16:00:00;    57
27.05.2011 18:15:00;    91
23.06.2011 18:00:00;   108
20.07.2011 22:45:00;   144
04.08.2011 14:45:00;   134
19.09.2011 13:30:00;    89
13.10.2011 09:30:00;   129
11.11.2011 21:19:45;    39
23.12.2011 10:45:00;   110
22.01.2012 03:00:00;   147
24.02.2012 19:15:00;   108
01.03.2012 00:00:00;    76
16.04.2012 12:30:00;    81
24.05.2012 18:00:00;    68
12.06.2012 19:15:00;   162
04.07.2012 23:15:00;   187
31.08.2012 18:45:00;    89
12.09.2012 23:45:00;   119
09.10.2012 17:30:00;   101
05.11.2012 08:30:00;   117
23.12.2012 10:30:00;   160
05.01.2013 02:15:00;   159
02.02.2013 11:30:00;   131
19.03.2013 15:30:00;    91
20.04.2013 06:15:00;    66
30.05.2013 22:15:00;   141
02.06.2013 09:00:00;   217
01.07.2013 00:00:00;    53
28.08.2013 09:45:00;    84
18.09.2013 16:45:00;   144
11.10.2013 01:30:00;    71
06.11.2013 20:45:00;   115
01.12.2013 00:00:00;    49
27.01.2014 19:45:00;    54
08.02.2014 01:15:00;    68
24.03.2014 17:00:00;    73
10.04.2014 15:30:00;    46
30.05.2014 00:15:00;   130
30.06.2014 10:00:00;    65
30.07.2014 20:31:25;   121
04.08.2014 02:04:45;   196
13.09.2014 19:00:00;   125
23.10.2014 05:30:00;   178
18.11.2014 19:00:00;    67
19.12.2014 00:15:00;    89
04.01.2015 00:45:00;   152
24.02.2015 16:49:15;    74
30.03.2015 13:59:10;   102
02.04.2015 16:45:00;    90
20.05.2015 08:00:00;   135
01.06.2015 21:15:00;   110
20.07.2015 02:45:00;    46
21.08.2015 06:30:00;    52
04.09.2015 03:42:40;    65
07.10.2015 23:41:35;    91
21.11.2015 02:17:15;    84
01.12.2015 19:30:00;    72
31.01.2016 23:59:55;   128
01.02.2016 06:45:00;   148
02.03.2016 22:45:00;    95
13.04.2016 20:24:30;    90
13.05.2016 20:27:20;   140
01.06.2016 10:30:00;   238
12.07.2016 19:15:00;   140
05.08.2016 16:00:00;   120
20.09.2016 00:26:10;   105
18.10.2016 19:42:55;    78
06.11.2016 13:15:55;   100
12.12.2016 15:28:00;    43
31.01.2017 23:59:55;    87
21.02.2017 15:30:00;   110
09.03.2017 17:15:00;   118
29.04.2017 12:45:00;    91
08.05.2017 21:00:00;   121
06.06.2017 21:30:00;    48
26.07.2017 14:03:15;   164
11.08.2017 14:35:05;    87
19.09.2017 21:30:10;   116
09.10.2017 10:27:15;   106
12.11.2017 01:00:00;   107
31.12.2017 03:45:00;   135
04.01.2018 21:30:00;   143
16.02.2018 16:00:00;    76
29.03.2018 09:30:00;    67
01.04.2018 20:30:00;    54
03.05.2018 20:15:00;    47
28.06.2018 15:15:00;    80
07.07.2018 00:45:00;    46
26.08.2018 05:15:00;    85
14.09.2018 14:00:00;    64
27.10.2018 22:00:00;    51
30.11.2018 23:45:00;    34
24.12.2018 09:45:00;   128
13.01.2019 22:30:00;   129
22.02.2019 16:30:00;   105
01.03.2019 13:15:00;   107
30.04.2019 23:59:55;    91
21.05.2019 08:15:00;   131
20.06.2019 20:00:00;    68
29.07.2019 02:30:00;    99
26.08.2019 22:15:00;   151
02.09.2019 00:45:00;   102
09.10.2019 20:45:00;    85
05.11.2019 10:15:00;    92
25.12.2019 15:00:00;   112
31.01.2020 08:45:00;    68
03.02.2020 14:15:00;   159
10.03.2020 23:15:00;    90
29.04.2020 16:15:00;    50
25.05.2020 22:00:00;    66
29.06.2020 08:45:00;   143
17.07.2020 02:00:00;   129
04.08.2020 09:45:00;   198
26.09.2020 19:45:00;   105
30.10.2020 04:15:00;   111
04.11.2020 02:00:00;    74
22.12.2020 21:00:00;    68
28.01.2021 22:45:00;   121
16.02.2021 12:45:00;    81
12.03.2021 04:00:00;    60
09.04.2021 19:00:00;    60
13.05.2021 10:00:00;   102
22.06.2021 23:45:00;   120
18.07.2021 18:15:00;   156
30.08.2021 12:15:00;   173
01.09.2021 00:00:00;    69
13.10.2021 04:45:00;    57
30.11.2021 23:59:55;    89
30.12.2021 04:15:00;   122
