Messstelle:                ;Oberlaa
HZB-Nummer:                ;209353
HD-Nummer:                 ;W3
DBMS-Nummer:               ;9001003
Gewässer:                  ;Liesing
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Wien (MA 45)
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;101,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1980              ;00171,68
   01.01.2005              ;00171,48
   16.05.2018              ;00171,46
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1979              ;755323,29 - 333042,85
Exportzeitreihe:           ;(9001003,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1980 00:30,01.01.2022 00:00]
Werte:
21.11.2005 02:25:00;    73
06.12.2005 18:24:55;    70
03.01.2006 03:36:35;    54
07.02.2006 19:28:55;    63
29.03.2006 12:30:15;   168
27.04.2006 18:40:00;   174
28.05.2006 01:45:00;   201
03.06.2006 10:15:00;   205
09.07.2006 16:10:00;   301
08.08.2006 04:00:00;   222
27.09.2006 15:25:00;   120
29.10.2006 18:10:00;    91
23.11.2006 23:15:00;    57
29.12.2006 02:55:00;    72
19.01.2007 04:50:00;   147
09.02.2007 07:50:00;    99
24.03.2007 00:00:00;   148
12.04.2007 22:15:00;    57
05.05.2007 21:35:00;   325
22.06.2007 18:40:00;   176
09.07.2007 19:45:00;   176
07.08.2007 16:40:00;   259
07.09.2007 11:45:00;   272
28.10.2007 11:49:55;   142
11.11.2007 17:29:25;   106
12.12.2007 17:30:20;   100
28.01.2008 03:30:40;    90
28.02.2008 23:09:35;    60
01.03.2008 13:53:20;    79
21.04.2008 21:17:35;   153
18.05.2008 18:03:50;   130
24.06.2008 16:17:00;   266
07.07.2008 15:01:05;   305
16.08.2008 00:07:05;   144
25.09.2008 18:15:00;   113
16.10.2008 19:30:00;   166
21.11.2008 04:58:15;   128
05.12.2008 23:23:15;    65
23.01.2009 22:15:00;   116
28.02.2009 18:20:00;   142
05.03.2009 19:20:00;   203
02.04.2009 21:20:00;    81
19.05.2009 01:30:00;   148
25.06.2009 16:05:00;   276
06.07.2009 17:30:00;   229
