Messstelle:                ;Mitterbach (Brücke)
HZB-Nummer:                ;207704
HD-Nummer:                 ;no065
DBMS-Nummer:               ;3001010
Gewässer:                  ;Große Erlauf
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Energieversorgung Niederösterreich-AG.
orogr.Einzugsgebiet [km²]: ;29,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00791,00
   01.01.1977              ;00785,90
   01.01.2014              ;00785,91
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1968              ;672483,40 - 298038,20
   01.01.1977              ;672413,70 - 297773,50
Exportzeitreihe:           ;(3001010,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
09.05.1999 15:31:50;    96
22.06.1999 18:17:15;    95
23.07.1999 10:29:50;    91
30.08.1999 13:01:25;    80
03.09.1999 02:46:35;    95
11.10.1999 05:43:55;    70
11.11.1999 19:09:25;    74
06.12.1999 09:57:55;    67
31.01.2000 16:46:40;    84
10.02.2000 00:59:15;    86
10.03.2000 12:08:30;   118
24.04.2000 02:08:55;   105
01.05.2000 00:00:00;   100
25.06.2000 20:40:45;    74
12.07.2000 09:23:55;    76
06.08.2000 15:06:00;    87
18.09.2000 05:41:35;    71
01.10.2000 12:49:55;    75
04.11.2000 20:39:35;    68
13.12.2000 03:16:25;    74
09.01.2001 15:51:30;    69
27.02.2001 10:43:50;    73
24.03.2001 15:21:40;   105
30.04.2001 23:59:55;    85
01.05.2001 01:14:40;    85
19.06.2001 17:15:40;    92
21.07.2001 12:17:50;   103
11.08.2001 11:56:25;    69
18.09.2001 17:34:10;    97
01.10.2001 18:03:00;    77
27.11.2001 11:30:25;    70
07.12.2001 04:44:00;    77
29.01.2002 04:50:40;   100
14.02.2002 08:02:55;    90
22.03.2002 00:25:05;   143
25.04.2002 04:22:25;    90
11.05.2002 16:18:45;    97
08.06.2002 06:42:35;    89
31.07.2002 11:58:50;    83
13.08.2002 12:03:40;   132
28.09.2002 03:14:20;   103
01.10.2002 00:00:00;    84
04.11.2002 22:22:45;    99
24.12.2002 03:50:30;    96
01.01.2003 00:00:05;    90
07.02.2003 12:08:45;    79
31.03.2003 23:59:55;    83
27.04.2003 20:48:20;    85
01.05.2003 06:43:10;    80
21.06.2003 13:50:40;    68
17.07.2003 22:49:05;    64
02.08.2003 01:10:55;    68
14.09.2003 04:08:10;    93
11.10.2003 03:23:10;    94
03.11.2003 06:26:15;    70
18.12.2003 18:47:05;    67
14.01.2004 11:01:30;    78
03.02.2004 18:33:15;    93
22.03.2004 06:54:20;    91
24.04.2004 20:15:10;    92
16.05.2004 20:04:30;    99
20.06.2004 20:56:30;    95
16.07.2004 16:20:30;    82
27.08.2004 08:20:45;    82
24.09.2004 03:59:40;    96
06.10.2004 18:15:15;    78
23.11.2004 16:42:40;    86
