Messstelle:                ;St. Leonhard im Pitztal
HZB-Nummer:                ;201335
HD-Nummer:                 ;
DBMS-Nummer:               ;7001031
Gewässer:                  ;Pitze
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;165,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1941              ;01337,45
   01.01.1976              ;01337,97
   01.01.1982              ;01338,77
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1941              ;188765,00 - 214655,00
Exportzeitreihe:           ;(7001031,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[08.04.1954 00:00,01.01.2022 00:00]
Werte:
09.07.2004 08:00:00;    95
12.08.2004 17:30:00;    70
24.09.2004 04:15:00;    48
01.10.2004 00:00:00;    30
02.11.2004 10:00:00;    20
01.12.2004 00:00:00;    12
01.01.2005 16:00:00;    10
01.02.2005 03:30:00;     8
25.03.2005 14:15:00;    20
30.04.2005 19:45:00;    27
29.05.2005 19:45:00;    55
29.06.2005 23:00:00;    59
29.07.2005 19:30:00;    73
23.08.2005 14:00:00;   105
02.09.2005 18:00:00;    49
05.10.2005 16:15:00;    35
01.11.2005 21:52:05;    19
02.12.2005 14:45:00;    12
05.01.2006 17:45:00;     9
16.02.2006 17:15:00;     7
31.03.2006 20:00:00;    16
28.04.2006 17:00:00;    31
29.05.2006 01:15:00;    57
22.06.2006 23:30:00;    83
26.07.2006 21:30:00;    73
01.08.2006 14:45:00;    70
08.09.2006 18:45:00;    42
04.10.2006 00:45:00;    30
01.11.2006 00:00:00;    14
12.12.2006 13:30:00;    11
19.01.2007 13:15:00;    20
05.02.2007 14:30:00;    11
18.03.2007 23:30:00;    12
26.04.2007 17:00:00;    29
25.05.2007 21:15:00;    42
22.06.2007 05:00:00;    58
18.07.2007 15:45:00;    69
30.08.2007 15:45:00;    75
01.09.2007 00:00:00;    38
31.10.2007 11:30:00;    28
07.11.2007 14:15:00;    14
07.12.2007 23:00:00;    13
03.01.2008 13:15:00;    10
17.02.2008 17:00:00;    11
06.03.2008 13:00:00;    12
28.04.2008 19:00:00;    27
04.05.2008 21:15:00;    66
25.06.2008 21:00:00;    71
30.07.2008 21:45:00;    87
07.08.2008 19:45:00;    85
10.09.2008 19:45:00;    46
03.10.2008 18:15:00;    18
05.11.2008 04:15:00;    17
04.12.2008 14:30:00;    11
01.01.2009 00:00:05;     8
25.02.2009 19:45:00;     8
21.03.2009 14:30:00;    11
05.04.2009 03:45:00;    38
24.05.2009 23:00:00;    57
17.06.2009 04:45:00;    66
23.07.2009 18:15:00;    65
19.08.2009 16:00:00;    60
01.09.2009 17:15:00;    49
07.10.2009 17:15:00;    22
18.11.2009 11:45:00;    18
01.12.2009 00:00:00;    13
04.01.2010 11:45:00;    10
28.02.2010 20:30:00;     7
23.03.2010 19:45:00;    17
30.04.2010 17:15:00;    28
30.05.2010 20:15:00;    39
13.06.2010 22:30:00;    73
17.07.2010 21:15:00;    75
27.08.2010 13:45:00;    77
08.09.2010 21:30:00;    41
05.10.2010 18:45:00;    25
12.11.2010 21:45:00;    20
05.12.2010 14:15:00;    15
13.01.2011 09:30:00;    12
24.02.2011 12:45:00;    12
31.03.2011 23:59:55;    15
08.04.2011 21:30:00;    27
27.05.2011 15:15:00;    43
29.06.2011 22:45:00;    65
