Messstelle:                ;Urlaken
HZB-Nummer:                ;212597
HD-Nummer:                 ;00322
DBMS-Nummer:               ;2001025
Gewässer:                  ;Seebach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;160,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00499,00
   01.01.1979              ;00499,74
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1962              ;492078,00 - 166455,00
   01.01.1976              ;492078,00 - 166455,00
Exportzeitreihe:           ;(2001025,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 02:00,01.01.2022 00:00]
Werte:
04.11.2017 20:15:00;    87
06.12.2017 03:45:00;    88
31.01.2018 04:30:00;    92
26.02.2018 11:30:00;    86
05.03.2018 02:30:00;    84
01.04.2018 00:00:00;    95
01.05.2018 19:00:00;   102
28.06.2018 07:15:00;    91
25.07.2018 10:00:00;    89
23.08.2018 06:15:00;    77
01.09.2018 00:00:00;    79
24.10.2018 12:00:00;    76
18.11.2018 14:15:00;    83
28.12.2018 16:45:00;    81
17.01.2019 10:45:00;    78
01.02.2019 05:30:00;    78
04.03.2019 13:45:00;    85
03.04.2019 07:30:00;    84
27.05.2019 04:00:00;    88
30.06.2019 14:15:00;    80
26.07.2019 02:15:00;    75
12.08.2019 19:30:00;    74
01.09.2019 00:00:00;    74
25.10.2019 20:00:00;    75
01.11.2019 00:00:00;    75
19.12.2019 12:00:00;    99
27.01.2020 00:15:00;    87
29.02.2020 22:30:00;    81
01.03.2020 00:00:00;    82
25.04.2020 05:45:00;    79
10.05.2020 12:45:00;    79
03.06.2020 17:45:00;    77
01.07.2020 16:45:00;    84
01.08.2020 00:45:00;    86
22.09.2020 05:30:00;    89
02.10.2020 04:00:00;    95
28.11.2020 22:45:00;    92
01.12.2020 18:45:00;    91
20.01.2021 22:30:00;    98
03.02.2021 18:00:00;   100
30.03.2021 18:30:00;    97
26.04.2021 23:45:00;    93
02.05.2021 11:15:00;    91
30.06.2021 15:00:00;    87
25.07.2021 14:30:00;    81
13.08.2021 06:15:00;    82
15.09.2021 16:45:00;    80
28.10.2021 21:15:00;    79
01.11.2021 00:00:00;    79
28.12.2021 06:15:00;    81
