Messstelle:                ;Purkersdorf
HZB-Nummer:                ;209627
HD-Nummer:                 ;no395
DBMS-Nummer:               ;3001178
Gewässer:                  ;Gablitzbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;23
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1989              ;00240,00
   01.01.2005              ;00245,05
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1989              ;738253,00 - 341549,00
Exportzeitreihe:           ;(3001178,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1989 00:15,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
24.02.1990 00:00:00;   125
25.02.1990 00:00:00;   125
26.02.1990 00:00:00;   125
27.02.1990 00:00:00;   129
28.02.1990 00:00:00;   129
01.03.1990 00:00:00;   128
02.03.1990 00:00:00;   126
03.03.1990 00:00:00;   126
04.03.1990 00:00:00;   126
05.03.1990 00:00:00;   126
06.03.1990 00:00:00;   125
07.03.1990 00:00:00;   125
08.03.1990 00:00:00;   125
09.03.1990 00:00:00;   124
10.03.1990 00:00:00;   126
11.03.1990 00:00:00;   128
12.03.1990 00:00:00;   126
13.03.1990 00:00:00;   126
14.03.1990 00:00:00;   125
15.03.1990 00:00:00;   125
16.03.1990 00:00:00;   125
17.03.1990 00:00:00;   125
18.03.1990 00:00:00;   125
19.03.1990 00:00:00;   125
20.03.1990 00:00:00;   125
21.03.1990 00:00:00;   125
22.03.1990 00:00:00;   125
23.03.1990 00:00:00;   126
24.03.1990 00:00:00;   126
25.03.1990 00:00:00;   126
26.03.1990 00:00:00;   126
27.03.1990 00:00:00;   125
28.03.1990 00:00:00;   130
29.03.1990 00:00:00;   130
30.03.1990 00:00:00;   129
31.03.1990 00:00:00;   128
01.04.1990 00:00:00;   128
02.04.1990 00:00:00;   128
03.04.1990 00:00:00;   128
04.04.1990 00:00:00;   127
05.04.1990 00:00:00;   126
06.04.1990 00:00:00;   125
07.04.1990 00:00:00;   130
08.04.1990 00:00:00;   151
09.04.1990 00:00:00;   137
10.04.1990 00:00:00;   134
11.04.1990 00:00:00;   133
12.04.1990 00:00:00;   132
13.04.1990 00:00:00;   131
14.04.1990 00:00:00;   130
15.04.1990 00:00:00;   131
16.04.1990 00:00:00;   131
17.04.1990 00:00:00;   129
18.04.1990 00:00:00;   129
19.04.1990 00:00:00;   134
20.04.1990 00:00:00;   133
21.04.1990 00:00:00;   132
22.04.1990 00:00:00;   132
23.04.1990 00:00:00;   140
24.04.1990 00:00:00;   143
25.04.1990 00:00:00;   136
26.04.1990 00:00:00;   135
27.04.1990 00:00:00;   134
28.04.1990 00:00:00;   133
29.04.1990 00:00:00;   132
30.04.1990 00:00:00;   131
01.05.1990 00:00:00;   131
02.05.1990 00:00:00;   130
03.05.1990 00:00:00;   130
04.05.1990 00:00:00;   130
05.05.1990 00:00:00;   130
06.05.1990 00:00:00;   129
07.05.1990 00:00:00;   128
08.05.1990 00:00:00;   128
09.05.1990 00:00:00;   127
10.05.1990 00:00:00;   127
11.05.1990 00:00:00;   127
12.05.1990 00:00:00;   129
13.05.1990 00:00:00;   129
14.05.1990 00:00:00;   128
15.05.1990 00:00:00;   128
16.05.1990 00:00:00;   130
17.05.1990 00:00:00;   128
18.05.1990 00:00:00;   128
19.05.1990 00:00:00;   127
20.05.1990 00:00:00;   126
21.05.1990 00:00:00;   126
22.05.1990 00:00:00;   128
23.05.1990 00:00:00;   128
24.05.1990 00:00:00;   126
25.05.1990 00:00:00;   130
26.05.1990 00:00:00;   128
27.05.1990 00:00:00;   126
28.05.1990 00:00:00;   125
29.05.1990 00:00:00;   125
30.05.1990 00:00:00;   125
31.05.1990 00:00:00;   125
01.06.1990 00:00:00;   125
02.06.1990 00:00:00;   125
03.06.1990 00:00:00;   125
04.06.1990 00:00:00;   124
05.06.1990 00:00:00;   124
06.06.1990 00:00:00;   125
07.06.1990 00:00:00;   126
08.06.1990 00:00:00;   126
09.06.1990 00:00:00;   125
10.06.1990 00:00:00;   128
11.06.1990 00:00:00;   125
12.06.1990 00:00:00;   125
13.06.1990 00:00:00;   127
14.06.1990 00:00:00;   125
15.06.1990 00:00:00;   127
16.06.1990 00:00:00;   127
17.06.1990 00:00:00;   125
18.06.1990 00:00:00;   125
19.06.1990 00:00:00;   125
20.06.1990 00:00:00;   124
21.06.1990 00:00:00;   126
22.06.1990 00:00:00;   126
23.06.1990 00:00:00;   127
24.06.1990 00:00:00;   125
25.06.1990 00:00:00;   124
26.06.1990 00:00:00;   123
27.06.1990 00:00:00;   123
28.06.1990 00:00:00;   125
29.06.1990 00:00:00;   125
30.06.1990 00:00:00;   123
01.07.1990 00:00:00;   123
02.07.1990 00:00:00;   125
03.07.1990 00:00:00;   124
04.07.1990 00:00:00;   127
05.07.1990 00:00:00;   125
06.07.1990 00:00:00;   126
07.07.1990 00:00:00;   124
08.07.1990 00:00:00;   124
09.07.1990 00:00:00;   124
10.07.1990 00:00:00;   136
11.07.1990 00:00:00;   127
12.07.1990 00:00:00;   125
13.07.1990 00:00:00;   122
14.07.1990 00:00:00;   120
15.07.1990 00:00:00;   119
16.07.1990 00:00:00;   124
17.07.1990 00:00:00;   131
18.07.1990 00:00:00;   123
19.07.1990 00:00:00;   122
20.07.1990 00:00:00;   122
21.07.1990 00:00:00;   121
22.07.1990 00:00:00;   121
23.07.1990 00:00:00;   121
24.07.1990 00:00:00;   121
25.07.1990 00:00:00;   120
26.07.1990 00:00:00;   121
27.07.1990 00:00:00;   121
28.07.1990 00:00:00;   120
29.07.1990 00:00:00;   120
30.07.1990 00:00:00;   121
31.07.1990 00:00:00;   121
01.08.1990 00:00:00;   121
02.08.1990 00:00:00;   121
03.08.1990 00:00:00;   121
