Messstelle:                ;Böckstein (Summenpegel)
HZB-Nummer:                ;203851
HD-Nummer:                 ;
DBMS-Nummer:               ;5001080
Gewässer:                  ;Nassfelder Ache m.Werksk.
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Salzburg AG für Energie, Verkehr und Telekommunikation
orogr.Einzugsgebiet [km²]: ;57,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1982              ;01115,02
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1982              ;433400,00 - 216520,00
Exportzeitreihe:           ;(5001080,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1982 02:00,01.01.2022 00:00]
Werte:
01.10.2016 00:00:00; 0,410
30.11.2016 23:59:55; 0,554
31.12.2016 00:45:00; 0,437
19.01.2017 22:15:00; 0,227
01.02.2017 00:00:00; 0,267
04.03.2017 10:30:00; 0,268
21.04.2017 11:00:00; 0,497
05.05.2017 21:15:00; 0,757
19.06.2017 04:45:00; 0,711
07.07.2017 01:15:00; 0,686
30.08.2017 22:15:00; 0,686
29.09.2017 20:45:00; 0,660
19.10.2017 11:15:00; 0,359
30.11.2017 23:59:55; 0,342
05.12.2017 13:45:00; 0,268
22.01.2018 16:45:00; 0,389
14.02.2018 21:15:00; 0,340
25.03.2018 06:00:00; 0,294
02.04.2018 03:15:00; 0,389
20.05.2018 16:30:00; 0,988
20.06.2018 23:15:00; 0,681
25.07.2018 23:45:00; 0,564
13.08.2018 03:15:00; 0,456
18.09.2018 10:15:00; 0,266
18.10.2018 08:00:00; 0,441
28.11.2018 11:30:00; 0,356
21.12.2018 00:15:00; 0,360
05.01.2019 15:30:00; 0,324
01.02.2019 05:15:00; 0,324
14.03.2019 20:15:00; 0,427
01.04.2019 08:45:00; 0,689
16.05.2019 04:45:00; 0,902
01.06.2019 00:00:00;  1,98
27.07.2019 09:30:00; 0,453
31.08.2019 09:45:00; 0,334
01.09.2019 09:00:00; 0,336
25.10.2019 11:45:00; 0,465
03.11.2019 13:30:00; 0,465
31.12.2019 23:59:55; 0,458
15.01.2020 14:45:00; 0,391
20.02.2020 23:45:00; 0,330
05.03.2020 13:47:10; 0,265
02.04.2020 08:45:00; 0,265
31.05.2020 16:30:00; 0,701
01.06.2020 09:45:00; 0,757
15.07.2020 23:45:00; 0,817
20.08.2020 00:00:00; 0,544
23.09.2020 11:15:00; 0,411
20.10.2020 04:45:00; 0,739
30.11.2020 23:59:55; 0,398
31.12.2020 23:45:00; 0,351
19.01.2021 10:00:00; 0,206
01.02.2021 00:00:00; 0,278
24.03.2021 12:45:00; 0,265
16.04.2021 04:45:00; 0,288
09.05.2021 08:30:00;  1,03
02.06.2021 03:45:00;  1,59
30.07.2021 09:15:00; 0,897
21.08.2021 04:45:00; 0,655
25.09.2021 10:15:00; 0,427
29.10.2021 19:45:00; 0,155
01.11.2021 00:00:00; 0,175
20.12.2021 20:15:00; 0,235
01.01.2022 00:00:00; Lücke
