Messstelle:                ;Töbring
HZB-Nummer:                ;213116
HD-Nummer:                 ;00337
DBMS-Nummer:               ;2001067
Gewässer:                  ;Treffner Bach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;140,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1973              ;00514,52
   02.10.1996              ;00512,52
   07.07.2009              ;00512,55
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1974              ;490813,00 - 168328,00
   01.01.1976              ;490771,00 - 168405,00
   01.01.1997              ;490813,00 - 168328,00
Exportzeitreihe:           ;(2001067,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1974 12:00,01.01.2022 00:00]
Werte:
22.01.1994 13:00:00;  1,49
09.02.1994 08:15:00;  1,28
18.03.1994 17:15:00;  1,35
01.04.1994 00:00:00;  1,35
27.05.1994 09:00:00;  1,35
28.06.1994 20:30:00;  1,15
31.07.1994 23:59:55; 0,783
02.08.1994 16:15:00; 0,676
02.09.1994 03:15:00; 0,902
14.10.1994 05:00:00;  1,09
05.11.1994 06:45:00;  1,42
25.12.1994 04:45:00;  1,09
23.01.1995 07:45:00; 0,902
07.02.1995 01:30:00; 0,902
08.03.1995 06:00:00; 0,963
24.04.1995 13:45:00;  1,15
07.05.1995 14:00:00;  1,42
04.06.1995 16:15:00;  1,42
31.07.1995 23:59:55;  1,49
06.08.1995 11:00:00;  1,22
02.09.1995 23:30:00;  1,35
31.10.1995 23:59:55;  1,08
04.11.1995 07:45:00; 0,902
13.12.1995 16:00:00; 0,786
21.01.1996 10:15:00; 0,963
29.02.1996 23:59:55; 0,887
01.03.1996 02:30:00; 0,844
01.04.1996 00:00:00;  1,09
08.05.1996 18:45:00;  1,42
17.06.1996 02:00:00;  1,22
29.07.1996 02:30:00;  1,49
03.08.1996 07:15:00;  1,49
16.09.1996 19:30:00;  1,35
01.10.1996 00:00:00;  1,80
09.11.1996 08:45:00;  1,64
27.12.1996 00:00:05;  1,49
28.01.1997 08:33:20; 0,797
20.02.1997 12:46:15; 0,449
18.03.1997 14:27:00; 0,616
09.04.1997 15:53:50; 0,572
30.05.1997 23:57:05; 0,457
24.06.1997 15:17:50; 0,386
03.07.1997 17:50:00; 0,314
11.08.1997 14:29:30; 0,328
18.09.1997 17:32:30; 0,285
28.10.1997 11:21:40; 0,352
20.11.1997 09:29:35; 0,323
05.12.1997 14:24:55; 0,341
26.01.1998 12:18:20; 0,334
03.02.1998 12:56:35; 0,355
11.03.1998 08:05:15; 0,368
21.04.1998 09:19:15; 0,350
12.05.1998 05:28:45; 0,364
22.06.1998 14:40:00; 0,413
02.07.1998 03:59:55; 0,581
20.08.1998 07:31:15; 0,991
04.09.1998 17:55:10;  1,09
28.10.1998 07:16:30;  2,12
03.11.1998 08:44:15; 0,925
23.12.1998 08:56:55;  1,06
30.01.1999 11:14:20; 0,893
20.02.1999 10:35:25; 0,714
21.03.1999 13:06:50; 0,785
01.04.1999 02:24:35; 0,955
10.05.1999 09:00:05;  1,18
03.06.1999 09:54:35;  1,45
22.07.1999 08:12:20;  1,27
11.08.1999 06:26:15;  1,92
30.09.1999 11:06:50; 0,911
14.10.1999 09:33:50; 0,563
03.11.1999 14:54:20;  1,11
27.12.1999 09:49:30; 0,506
28.01.2000 04:19:10; 0,901
23.02.2000 07:13:55; 0,171
18.03.2000 16:23:00; 0,090
03.04.2000 08:59:25; 0,353
04.05.2000 13:25:30; 0,451
04.06.2000 21:04:20; 0,029
16.07.2000 07:04:20; 0,482
25.08.2000 04:27:10; 0,567
21.09.2000 18:29:05; 0,194
30.10.2000 09:53:50; 0,283
02.11.2000 11:12:10;  2,19
02.12.2000 14:16:30;  2,34
31.01.2001 10:39:40;  1,70
27.02.2001 09:08:50;  1,01
02.03.2001 10:39:20;  1,31
15.04.2001 07:11:05;  2,09
14.05.2001 11:08:40; 0,392
11.06.2001 08:35:55; 0,225
04.07.2001 09:39:30; 0,191
17.08.2001 07:11:40; 0,325
03.09.2001 07:40:45; 0,309
19.10.2001 17:24:00; 0,026
16.11.2001 16:48:20; 0,023
10.12.2001 18:26:30; 0,075
25.01.2002 13:04:05; 0,265
02.02.2002 16:34:05; 0,212
28.03.2002 08:07:45; 0,415
02.04.2002 06:11:05; 0,317
06.05.2002 03:24:35; 0,289
12.06.2002 14:33:15; 0,364
06.07.2002 22:03:15; 0,252
04.08.2002 03:18:35; 0,658
01.09.2002 14:23:45; 0,476
10.10.2002 09:09:30; 0,712
07.11.2002 06:58:10;  1,38
26.12.2002 22:03:50;  1,63
31.01.2003 23:59:55;  1,29
28.02.2003 23:59:55;  1,01
23.03.2003 06:57:50; 0,540
08.04.2003 08:42:30; 0,528
08.05.2003 05:54:05; 0,463
23.06.2003 15:34:15; 0,527
28.07.2003 18:53:50; 0,453
11.08.2003 00:37:15; 0,382
23.09.2003 17:49:15; 0,775
03.10.2003 16:57:10; 0,977
21.11.2003 16:08:05;  1,62
25.12.2003 01:45:00;  1,56
31.01.2004 23:59:55;  1,31
25.02.2004 09:28:40; 0,966
10.03.2004 06:30:50;  1,01
22.04.2004 12:58:20;  1,89
26.05.2004 12:56:45;  1,66
10.06.2004 19:09:45;  1,50
31.07.2004 23:59:55;  1,73
20.08.2004 20:38:55; 0,837
24.09.2004 08:30:30;  1,16
07.10.2004 13:24:30; 0,982
27.11.2004 10:46:20;  1,77
16.12.2004 12:39:15; 0,824
31.01.2005 23:59:55; 0,795
28.02.2005 08:34:10; 0,554
14.03.2005 14:07:20; 0,056
30.04.2005 12:40:40; 0,355
13.05.2005 16:02:35; 0,286
29.06.2005 13:12:00; 0,098
07.07.2005 20:29:10; 0,771
04.08.2005 06:53:30; 0,325
28.09.2005 10:49:10;  1,04
01.10.2005 14:01:30; 0,756
19.11.2005 13:30:20; 0,392
30.12.2005 20:26:30;  1,11
04.01.2006 20:32:05; 0,837
28.02.2006 10:05:50; 0,987
01.03.2006 05:52:30; 0,735
15.04.2006 14:01:55;  2,55
18.05.2006 16:33:45;  3,24
03.06.2006 13:28:05;  1,38
07.07.2006 21:39:05; 0,251
04.08.2006 16:59:00; 0,122
08.09.2006 17:36:55; 0,133
23.10.2006 01:44:30; 0,762
05.11.2006 05:34:05; 0,440
10.12.2006 12:35:45; 0,220
30.01.2007 10:50:30; 0,434
07.02.2007 11:09:40; 0,349
19.03.2007 19:03:25; 0,617
29.04.2007 12:51:40; 0,811
26.05.2007 14:58:10; 0,323
27.06.2007 16:00:25; 0,004
17.07.2007 15:43:20; 0,004
08.08.2007 11:45:00; 0,014
05.09.2007 17:45:00; 0,082
13.10.2007 13:30:00; 0,015
01.11.2007 17:30:00; 0,150
08.12.2007 14:45:00; 0,114
18.01.2008 15:30:00; 0,190
03.02.2008 08:45:00; 0,114
06.03.2008 15:45:00; 0,280
21.04.2008 17:00:00; 0,183
16.05.2008 15:00:00; 0,035
29.06.2008 09:15:00; 0,170
15.07.2008 07:45:00; 0,130
10.08.2008 17:00:00; 0,014
16.09.2008 15:45:00; 0,280
12.10.2008 13:15:00; 0,233
05.11.2008 14:45:00; 0,280
23.12.2008 17:15:00; 0,349
24.01.2009 16:45:00; 0,330
26.02.2009 15:15:00; 0,233
22.03.2009 12:15:00; 0,563
25.04.2009 12:45:00;  2,38
30.05.2009 16:00:00; 0,384
13.06.2009 15:00:00; 0,280
13.07.2009 17:00:00; 0,330
12.08.2009 10:45:00; 0,055
01.09.2009 07:15:00; 0,920
31.10.2009 16:00:00; 0,233
17.11.2009 14:15:00; 0,150
16.12.2009 14:44:05; 0,152
29.01.2010 10:30:00; 0,055
18.02.2010 16:00:00; 0,330
13.03.2010 17:30:00; 0,082
25.04.2010 10:30:00;  1,00
18.05.2010 18:30:00;  1,00
14.06.2010 16:00:00; 0,563
28.07.2010 17:00:00; 0,055
22.08.2010 09:30:00; 0,082
01.09.2010 16:00:00; 0,440
21.10.2010 16:00:00; 0,500
06.11.2010 12:30:00; 0,563
17.12.2010 11:30:00;  1,27
31.01.2011 11:45:00;  1,42
15.02.2011 11:15:00; 0,758
18.03.2011 15:45:00; 0,245
04.04.2011 18:00:00; 0,514
06.05.2011 14:45:00; 0,133
04.06.2011 12:30:00;  1,10
08.07.2011 14:30:00; 0,245
13.08.2011 15:45:00; 0,092
09.09.2011 16:00:00; 0,092
05.10.2011 16:45:00; 0,577
04.11.2011 15:30:00; 0,161
22.12.2011 14:30:00; 0,040
15.01.2012 02:30:00; 0,600
18.02.2012 15:15:00; 0,100
19.03.2012 17:30:00; 0,078
15.04.2012 14:00:00; 0,126
11.05.2012 19:45:00; 0,185
09.06.2012 12:15:00; 0,100
06.07.2012 15:30:00; 0,126
31.08.2012 11:00:00; 0,219
