Messstelle:                ;Obermühl
HZB-Nummer:                ;204883
HD-Nummer:                 ;3170
DBMS-Nummer:               ;4001037
Gewässer:                  ;Kleine Mühl
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;200,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1958              ;00284,08
   17.06.2013              ;00283,50
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1928              ;493630,00 - 368955,00
   27.03.2020              ;493631,54 - 368960,62
Exportzeitreihe:           ;(4001037,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 08:00,01.01.2022 00:00]
Werte:
03.08.2014 22:15:00; 0,048
10.09.2014 13:00:00; 0,481
30.10.2014 14:30:00; 0,220
04.11.2014 13:00:00; 0,183
02.12.2014 08:30:00; 0,168
02.01.2015 10:45:00;  1,69
04.02.2015 08:15:00; 0,535
25.03.2015 10:15:00; 0,996
20.04.2015 13:30:00; 0,257
12.05.2015 09:45:00; 0,996
08.06.2015 21:45:00; 0,057
22.07.2015 23:00:00; 0,148
31.08.2015 20:00:00; 0,044
01.09.2015 18:53:00; 0,039
02.10.2015 02:15:00; 0,057
20.11.2015 01:45:00; 0,147
17.12.2015 08:15:00; 0,761
03.01.2016 18:15:00; 0,792
20.02.2016 10:15:00;  3,00
24.03.2016 11:45:00; 0,814
13.04.2016 18:45:00; 0,714
25.05.2016 14:00:00; 0,178
23.06.2016 09:45:00; 0,884
11.07.2016 08:45:00;  1,00
24.08.2016 09:45:00;  1,02
27.09.2016 06:15:00; 0,554
24.10.2016 14:40:00; 0,602
03.11.2016 20:35:00; 0,610
22.12.2016 12:10:00; 0,292
29.01.2017 06:45:00; 0,991
08.02.2017 10:30:00; 0,760
30.03.2017 13:45:00;  2,93
24.04.2017 08:30:00; 0,933
29.05.2017 07:55:00; 0,944
20.06.2017 13:45:00; 0,274
25.07.2017 17:35:00; 0,270
18.08.2017 22:30:00; 0,358
28.09.2017 02:00:00; 0,481
19.10.2017 11:10:00; 0,313
07.11.2017 15:00:00; 0,261
07.12.2017 08:35:00;  1,43
15.01.2018 23:30:00;  4,47
26.02.2018 01:50:55;  1,81
31.03.2018 08:25:00; 0,241
19.04.2018 10:55:00; 0,332
14.05.2018 11:25:00; 0,299
22.06.2018 05:30:00; 0,375
21.07.2018 05:10:00; 0,121
30.08.2018 15:25:00; 0,112
14.09.2018 01:40:00; 0,383
05.10.2018 21:00:00; 0,112
16.11.2018 06:30:00; 0,225
01.12.2018 18:45:00; 0,690
30.01.2019 10:30:00;  1,22
05.02.2019 09:10:00; 0,965
31.03.2019 07:40:00;  3,70
08.04.2019 06:10:00; 0,465
02.05.2019 18:15:00; 0,548
