Messstelle:                ;Löbenau
HZB-Nummer:                ;203737
HD-Nummer:                 ;
DBMS-Nummer:               ;5001068
Gewässer:                  ;Taurach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;86,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00835,80
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1908              ;461290,00 - 247850,00
Exportzeitreihe:           ;(5001068,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1951 12:00,01.01.2022 00:00]
Werte:
01.02.1980 00:00:00;  2,60
01.03.1980 00:00:00;  2,61
07.04.1980 10:00:00;  3,19
01.05.1980 00:00:00;  4,03
03.06.1980 08:00:00;  6,31
31.07.1980 23:59:55;  5,19
28.08.1980 10:00:00;  4,22
27.09.1980 08:00:00;  4,03
05.10.1980 08:00:00;  3,35
29.11.1980 08:00:00;  3,35
15.12.1980 10:00:00;  3,35
31.01.1981 23:59:55;  3,03
14.02.1981 08:00:00;  2,74
01.03.1981 00:00:00;  2,74
21.04.1981 10:00:00;  4,99
04.05.1981 10:00:00;  4,40
13.06.1981 08:00:00;  4,22
11.07.1981 10:00:00;  3,86
15.08.1981 08:00:00;  4,60
30.09.1981 23:59:55;  4,39
07.10.1981 12:00:00;  4,22
30.11.1981 23:59:55;  3,17
31.12.1981 10:00:00;  2,53
31.01.1982 23:59:55;  2,37
28.02.1982 23:59:55;  2,37
04.03.1982 10:00:00;  2,24
01.04.1982 00:00:00;  2,69
01.05.1982 00:00:00;  3,01
22.06.1982 08:00:00;  5,85
16.07.1982 08:00:00;  4,22
05.08.1982 08:00:00;  4,40
28.09.1982 10:00:00;  3,68
31.10.1982 23:59:55;  3,17
24.11.1982 10:00:00;  2,72
30.12.1982 10:00:00;  2,57
01.01.1983 00:00:00;  2,57
15.02.1983 08:00:00;  2,28
01.03.1983 00:00:00;  2,43
01.04.1983 00:00:00;  3,03
04.05.1983 08:00:00;  6,31
09.06.1983 08:00:00;  5,85
28.07.1983 10:00:00;  3,86
24.08.1983 08:00:00;  3,52
13.09.1983 08:00:00;  2,87
01.10.1983 00:00:00;  3,03
20.11.1983 10:00:00;  2,57
01.12.1983 02:00:00;  2,72
31.01.1984 23:59:55;  2,41
03.02.1984 12:00:00;  2,28
01.03.1984 00:00:00;  2,28
01.04.1984 00:00:00;  2,72
01.05.1984 02:00:00;  3,70
13.06.1984 10:00:00;  5,45
08.07.1984 10:00:00;  4,80
08.08.1984 10:00:00;  4,80
14.09.1984 10:00:00;  4,45
31.10.1984 23:59:55;  3,42
26.11.1984 12:00:00;  2,93
31.12.1984 23:59:55;  2,61
11.01.1985 12:00:00;  2,24
12.02.1985 12:00:00;  2,09
01.03.1985 00:00:00;  2,24
01.04.1985 00:00:00;  2,24
01.05.1985 00:00:00;  3,62
04.06.1985 10:00:00;  5,23
29.07.1985 08:00:00;  3,62
01.08.1985 02:00:00;  3,62
30.09.1985 23:59:55;  3,63
31.10.1985 23:59:55;  2,97
30.11.1985 23:59:55;  2,97
31.12.1985 23:59:55;  2,82
31.01.1986 23:59:55;  2,31
28.02.1986 23:59:55;  2,31
03.03.1986 10:00:00;  2,18
01.04.1986 00:00:00;  2,47
30.05.1986 08:00:00;  6,37
22.06.1986 10:00:00;  4,59
27.07.1986 08:00:00;  3,47
09.08.1986 08:00:00;  3,47
24.09.1986 08:00:00;  3,68
31.10.1986 23:59:55;  3,13
23.11.1986 10:00:00;  2,68
31.12.1986 23:59:55;  2,39
26.01.1987 10:00:00;  1,91
01.02.1987 00:00:00;  1,91
17.03.1987 10:00:00;  1,91
01.04.1987 00:00:00;  1,91
25.05.1987 08:00:00;  5,28
19.06.1987 08:00:00;  6,78
23.07.1987 00:10:00;  4,39
21.08.1987 08:00:00;  3,99
22.09.1987 10:00:00;  3,70
10.10.1987 10:00:00;  3,19
07.11.1987 10:00:00;  3,19
04.12.1987 08:00:00;  2,87
21.01.1988 10:00:00;  2,72
01.02.1988 00:00:00;  2,72
01.03.1988 00:00:00;  2,72
01.04.1988 00:00:00;  2,87
28.05.1988 08:00:00;  5,72
30.06.1988 23:59:55;  4,25
25.07.1988 08:00:00;  3,82
18.08.1988 10:00:00;  3,70
30.09.1988 10:00:00;  4,00
31.10.1988 23:59:55;  3,31
03.11.1988 08:00:00;  3,15
01.12.1988 00:00:00;  3,15
29.01.1989 10:00:00;  2,26
01.02.1989 00:00:00;  2,26
01.03.1989 00:00:00;  2,83
07.04.1989 08:00:00;  4,03
01.05.1989 00:00:00;  4,23
05.06.1989 10:00:00;  6,07
19.07.1989 08:00:00;  5,49
25.08.1989 10:00:00;  3,91
11.09.1989 08:00:00;  3,91
21.10.1989 10:00:00;  3,86
28.11.1989 10:00:00;  3,15
01.12.1989 00:00:00;  3,15
31.01.1990 23:59:55;  2,55
02.02.1990 10:00:00;  2,42
07.03.1990 10:00:00;  2,72
13.04.1990 08:00:00;  3,65
01.05.1990 00:00:00;  4,00
28.06.1990 10:00:00;  4,18
31.07.1990 23:59:55;  3,87
29.08.1990 10:00:00;  3,26
01.09.1990 00:00:00;  3,27
19.10.1990 10:00:00;  3,35
09.11.1990 08:00:00;  3,03
31.12.1990 23:59:55;  2,86
31.01.1991 23:59:55;  2,71
22.02.1991 10:00:00;  2,28
01.03.1991 00:00:00;  2,29
03.04.1991 00:10:00;  2,83
01.05.1991 00:00:00;  3,45
01.06.1991 00:00:00;  5,25
12.07.1991 10:00:00;  3,62
31.08.1991 23:59:55;  3,25
28.09.1991 10:00:00;  2,62
01.10.1991 00:00:00;  2,62
20.11.1991 14:00:00;  2,47
01.12.1991 00:00:00;  2,47
29.01.1992 10:00:00;  2,32
01.02.1992 00:00:00;  2,32
14.03.1992 10:00:00;  2,47
01.04.1992 00:00:00;  3,09
01.05.1992 02:00:00;  8,90
28.06.1992 10:00:00;  4,45
22.07.1992 08:00:00;  3,35
25.08.1992 10:00:00;  2,72
01.09.1992 00:00:00;  2,72
01.10.1992 00:00:00;  3,35
01.11.1992 00:00:00;  3,35
25.12.1992 08:00:00;  2,62
31.01.1993 23:59:55;  2,60
28.02.1993 23:59:55;  2,45
06.03.1993 10:00:00;  2,32
01.04.1993 00:00:00;  3,36
27.05.1993 08:00:00;  5,20
12.06.1993 10:00:00;  4,99
09.07.1993 10:00:00;  3,99
22.08.1993 08:00:00;  4,39
24.09.1993 08:00:00;  3,62
01.10.1993 00:00:00;  3,62
21.11.1993 08:00:00;  2,87
01.12.1993 00:00:00;  2,87
17.01.1994 10:00:00;  2,57
24.02.1994 10:00:00;  2,57
01.03.1994 00:00:00;  2,58
11.04.1994 08:00:00;  3,14
08.05.1994 08:00:00;  5,91
27.06.1994 10:00:00;  3,82
31.07.1994 23:59:55;  3,13
06.08.1994 10:00:00;  2,98
20.09.1994 08:00:00;  3,14
17.10.1994 10:00:00;  2,98
01.11.1994 00:00:00;  2,98
17.12.1994 10:00:00;  2,82
31.01.1995 23:59:55;  2,45
28.02.1995 23:59:55;  2,31
11.03.1995 10:00:00;  2,18
01.04.1995 00:00:00;  2,18
21.05.1995 08:00:00;  5,45
19.06.1995 08:00:00;  5,91
31.07.1995 23:59:55;  3,61
06.08.1995 10:00:00;  3,44
27.09.1995 08:00:00;  3,44
30.10.1995 10:00:00;  2,62
30.11.1995 23:59:55;  2,61
31.12.1995 23:59:55;  2,61
31.01.1996 23:59:55;  2,45
21.02.1996 10:00:00;  2,04
01.03.1996 00:00:00;  2,04
01.04.1996 00:00:00;  2,32
31.05.1996 23:59:55;  5,19
16.06.1996 08:00:00;  3,68
30.07.1996 10:00:00;  3,64
01.08.1996 00:00:00;  3,64
01.09.1996 02:00:00;  4,00
20.10.1996 08:00:00;  4,99
30.11.1996 10:00:00;  3,64
26.12.1996 10:00:00;  2,53
14.01.1997 08:00:00;  2,39
04.02.1997 08:00:00;  2,26
01.03.1997 00:00:00;  2,26
01.04.1997 00:00:00;  2,90
01.05.1997 00:00:00;  4,38
29.06.1997 08:00:00;  5,70
05.07.1997 08:00:00;  4,69
21.08.1997 08:00:00;  4,14
24.09.1997 08:00:00;  3,35
25.10.1997 08:00:00;  3,15
10.11.1997 08:00:00;  3,00
04.12.1997 08:00:00;  2,85
14.01.1998 08:00:00;  2,39
12.02.1998 08:00:00;  2,13
01.03.1998 00:00:00;  2,39
18.04.1998 08:00:00;  4,03
31.05.1998 23:59:55;  5,46
24.06.1998 08:00:00;  4,97
20.07.1998 08:00:00;  4,65
16.08.1998 08:00:00;  3,70
01.09.1998 08:00:00;  4,65
28.10.1998 08:00:00;  4,22
30.11.1998 08:00:00;  3,53
09.12.1998 08:00:00;  2,87
31.01.1999 23:59:55;  2,47
15.02.1999 08:00:00;  2,28
01.03.1999 00:00:00;  2,42
01.04.1999 00:00:00;  3,35
31.05.1999 23:59:55;  6,78
30.06.1999 08:00:00;  5,39
15.07.1999 08:00:00;  4,18
24.08.1999 08:00:00;  4,76
28.09.1999 08:00:00;  3,63
19.10.1999 08:00:00;  3,31
30.11.1999 23:59:55;  2,76
30.12.1999 08:00:00;  2,43
01.01.2000 00:00:00;  2,43
24.02.2000 08:00:00;  2,72
01.03.2000 00:00:00;  2,72
01.04.2000 00:00:00;  3,63
31.05.2000 23:59:55;  6,11
20.06.2000 08:00:00;  4,00
26.07.2000 08:00:00;  4,65
27.08.2000 08:00:00;  3,53
17.09.2000 08:00:00;  3,88
01.10.2000 00:00:00;  4,18
30.11.2000 23:59:55;  3,73
14.12.2000 08:00:00;  2,82
01.01.2001 00:00:00;  2,82
02.02.2001 08:00:00;  2,85
01.03.2001 00:00:00;  2,95
21.04.2001 08:00:00;  4,35
30.05.2001 08:00:00;  6,01
30.06.2001 23:59:55;  4,60
31.07.2001 23:59:55;  4,33
30.08.2001 08:00:00;  3,70
