Messstelle:                ;Aigen im Ennstal-Ketten
HZB-Nummer:                ;210773
HD-Nummer:                 ;ow1185
DBMS-Nummer:               ;6001028
Gewässer:                  ;Gulling
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;155,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00640,74
   01.01.1994              ;00640,42
   19.11.2003              ;00637,78
   20.01.2014              ;00643,84
   26.05.2021              ;00644,59
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1857              ;00000,00 - 00000,00
   01.01.1994              ;585442,30 - 267950,50
   19.11.2003              ;585469,40 - 268350,20
   20.01.2014              ;585535,50 - 267500,20
   01.01.2018              ;585538,90 - 267487,50
Exportzeitreihe:           ;(6001028,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
28.10.2010 10:05:00;  3,12
30.11.2010 12:50:00;  2,97
16.12.2010 13:05:00;  2,70
04.01.2011 02:35:00;  2,70
26.02.2011 07:20:00;  2,57
08.03.2011 10:05:00;  2,36
01.04.2011 00:00:00;  4,31
27.05.2011 08:46:00;  3,76
10.06.2011 18:31:00;  3,34
13.07.2011 00:16:00;  3,12
31.08.2011 18:14:00;  3,44
14.09.2011 07:59:00;  3,16
07.10.2011 01:14:00;  3,66
30.11.2011 00:13:00;  3,00
21.12.2011 08:58:00;  2,15
27.01.2012 05:43:00;  1,83
15.02.2012 14:43:00;  1,62
10.03.2012 15:04:50;  2,20
24.04.2012 09:21:10;  3,47
18.05.2012 13:41:00;  9,07
30.06.2012 20:10:00;  8,43
07.07.2012 07:55:00;  6,73
23.08.2012 22:42:00;  3,31
11.09.2012 12:12:00;  2,93
06.10.2012 10:27:00;  2,95
07.11.2012 17:42:00;  3,05
12.12.2012 18:42:00;  2,57
27.01.2013 10:12:00;  2,30
23.02.2013 08:42:00;  2,11
02.03.2013 15:12:00;  2,50
01.04.2013 08:42:00;  2,68
22.05.2013 20:12:00;  5,97
21.06.2013 17:12:00;  4,13
24.07.2013 07:42:40;  1,71
01.08.2013 09:12:40;  1,46
07.09.2013 10:57:40;  2,28
08.10.2013 17:57:40;  1,88
30.11.2013 14:42:40;  3,16
23.12.2013 10:27:40;  2,01
23.01.2014 08:28:00;  1,86
21.02.2014 07:43:00;  1,97
02.03.2014 09:58:00;  2,33
19.04.2014 16:28:00;  4,20
07.05.2014 05:28:00;  6,45
29.06.2014 09:43:00;  3,72
27.07.2014 09:13:00;  2,18
02.08.2014 18:28:00;  3,67
27.09.2014 18:43:00;  4,32
15.10.2014 12:28:00;  2,60
29.11.2014 14:43:00;  3,03
28.12.2014 11:43:00;  1,88
03.01.2015 10:13:00;  2,03
21.02.2015 16:13:00;  2,28
01.03.2015 10:43:00;  2,13
09.04.2015 12:43:00;  3,10
01.05.2015 19:43:00;  6,96
30.06.2015 19:43:00;  4,20
19.07.2015 08:58:00;  1,94
25.08.2015 18:58:00;  1,98
02.09.2015 14:28:00;  1,78
04.10.2015 09:28:00;  2,31
16.11.2015 08:28:00;  2,05
22.12.2015 13:43:00;  1,78
23.01.2016 08:58:00;  1,29
12.02.2016 10:58:00;  2,39
16.03.2016 19:58:00;  2,04
01.04.2016 10:13:00;  4,06
01.05.2016 08:13:00;  4,39
09.06.2016 17:33:05;  5,80
10.07.2016 09:33:05;  5,21
29.08.2016 00:03:05;  5,95
23.09.2016 12:18:05;  3,92
30.10.2016 09:48:05;  2,47
30.11.2016 02:18:05;  1,90
29.12.2016 14:33:05;  1,96
24.01.2017 09:07:00; 0,975
14.02.2017 13:37:00;  1,41
11.03.2017 14:07:00;  2,45
21.04.2017 14:37:00;  5,05
01.05.2017 11:07:00;  5,97
22.06.2017 08:37:00;  2,90
09.07.2017 20:07:00;  2,87
03.08.2017 11:45:00;  4,91
