Messstelle:                ;Loipersbach
HZB-Nummer:                ;208785
HD-Nummer:                 ;no705
DBMS-Nummer:               ;3001103
Gewässer:                  ;Schwarza
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;716,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00345,50
   01.01.1977              ;00346,76
   01.01.1984              ;00347,00
   01.01.2002              ;00344,46
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1968              ;734242,60 - 286864,50
Exportzeitreihe:           ;(3001103,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.12.1977 23:59:55,01.01.2022 00:00]
Werte:
01.08.2003 00:00:00; 0,000
01.09.2003 00:00:00; 0,000
01.10.2003 00:00:00; 0,000
01.11.2003 00:00:00; 0,000
01.12.2003 00:00:00; 0,000
01.01.2004 00:00:00; 0,000
01.02.2004 00:00:00; 0,000
01.03.2004 19:45:00; 0,000
16.04.2004 01:05:00;  1,74
12.05.2004 12:51:15;  1,73
20.06.2004 00:21:15;  1,46
22.07.2004 21:33:50; 0,000
01.08.2004 00:00:00; 0,000
01.09.2004 00:00:00; 0,000
01.10.2004 00:00:00; 0,000
01.11.2004 00:00:00; 0,000
01.12.2004 00:00:00; 0,000
01.01.2005 00:00:00; 0,000
01.02.2005 00:00:00; 0,000
01.03.2005 00:00:00; 0,000
24.04.2005 08:58:50;  5,21
30.05.2005 17:14:30;  2,05
21.06.2005 14:37:45; 0,000
01.07.2005 00:00:00; 0,000
01.08.2005 00:00:00; 0,000
10.09.2005 13:19:50; 0,000
10.10.2005 00:46:55; 0,000
01.11.2005 00:00:00; 0,000
01.12.2005 00:00:00; 0,000
01.01.2006 00:00:00; 0,000
01.02.2006 00:00:00; 0,000
01.03.2006 00:00:00; 0,000
14.04.2006 12:21:20;  7,27
25.05.2006 16:47:15;  4,90
25.06.2006 21:44:20;  3,93
28.07.2006 05:00:10; 0,000
01.08.2006 00:00:00; 0,000
03.09.2006 13:01:00; 0,000
01.10.2006 00:00:00; 0,000
01.11.2006 00:00:00; 0,000
01.12.2006 00:00:00; 0,000
01.01.2007 00:00:00; 0,000
01.02.2007 00:00:00; 0,000
17.03.2007 19:20:30; 0,000
22.04.2007 01:02:55; 0,000
01.05.2007 00:00:00; 0,000
01.06.2007 00:00:00; 0,000
01.07.2007 00:00:00; 0,000
01.08.2007 00:00:00; 0,000
01.09.2007 00:00:00; 0,000
14.10.2007 17:45:00; 0,000
06.11.2007 16:30:00;  4,30
31.12.2007 17:45:00;  2,06
27.01.2008 09:15:00; 0,519
22.02.2008 19:45:00; 0,000
27.03.2008 14:42:05; 0,782
18.04.2008 20:38:30;  1,60
31.05.2008 18:53:35; 0,550
23.06.2008 21:27:10; 0,037
12.07.2008 04:30:25; 0,705
31.08.2008 23:12:45; 0,462
04.09.2008 08:01:00; 0,000
